,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,1008.5622007493057,1007.9197813368054,1007.7583265770829,1007.6556980604164,1007.558747795139,1007.946974833333,1007.4906187159718,1007.3465489187498,1007.7798621233508,1007.4485470784725,1006.7401278888885,1006.3887823659728,1006.2207412875,1006.3421979159718,1006.4504934854168,1006.6122311229163,1006.2639819458337,1006.5583878863719,1007.7424146215279,1007.2246394,1006.6537455208339,1006.6585657520837,1006.7614637548616,1006.8038039465278,1006.7175052236112,1006.8177268527777,1006.9224831340276,1007.9305555555555
std,0.4476586473620609,0.4800838928869308,0.4455174959934711,0.4455514874749139,0.5056208789822214,0.5625008273720443,0.5282111459771025,0.5258966379273105,0.4641090080866945,0.7139151956025245,0.8418972642734356,0.747419027635813,0.7385376893044212,0.8517374709371012,0.8930230735172356,0.826223422931539,0.9138117881568829,0.8001288357006727,0.7202623596078338,0.727465096002607,0.7805552880040794,0.7216586457838463,0.6888297141026041,0.6499837516563244,0.6164843810464582,0.7172793352642981,0.6890631045943746,0.7066428629813399
min,1008.0064929,1007.0741103,1007.1799944,1006.9538031,1006.6833129,1007.0567822,1006.5875945,1006.4858238,1007.0937908875,1006.2211731,1005.163515,1004.9551504,1005.0433361,1005.049064,1004.7582512,1005.3018932,1004.6047187,1005.1886757,1006.190224,1006.03319,1005.2527185,1005.396424,1005.648029,1005.1704361,1005.6535591,1005.5322866,1005.68851525,1006.8
25%,1008.2200797749999,1007.578344475,1007.367440625,1007.2684623,1007.181994775,1007.506209475,1007.10438985,1006.8545338499999,1007.4243687812499,1006.7824992,1005.94251505,1005.6975388999999,1005.5735226,1005.57788065,1005.69526705,1005.85199185,1005.4900164000001,1005.8213045781251,1007.33715795,1006.684965025,1005.9478602500001,1006.041246675,1006.188330975,1006.2876200000001,1006.243064025,1006.2939584,1006.3991687906249,1007.3
50%,1008.3866277,1007.8331687499999,1007.62645345,1007.6023167,1007.4919307499999,1007.8573183000001,1007.40111265,1007.32509065,1007.6789444625,1007.3539072,1006.5155866,1006.2514436,1005.9378373,1005.9539380000001,1006.05568055,1006.3801864,1005.8631907,1006.18284523125,1007.66356305,1007.2165945500001,1006.8260742,1006.76693525,1006.7635256,1006.8503135,1006.6542638999999,1006.7850899,1006.95078429375,1008.05
75%,1008.9109559999999,1008.284502425,1008.1795189,1008.0354925,1008.052503475,1008.283213725,1007.8255247000001,1007.7279062,1008.128164021875,1008.045407725,1007.5408654,1007.12805205,1006.9182446499999,1007.224462725,1007.29284665,1007.411668225,1007.186523725,1007.3279903531251,1008.238586175,1007.7224142499999,1007.06780375,1007.0956881999999,1007.0906261,1007.2620960500001,1007.148925275,1007.281497725,1007.348535153125,1008.4
max,1009.5766521,1008.9982027,1008.7707086,1008.4724347,1008.4605574,1009.0564078,1008.5741453,1008.4488484,1008.7154729125001,1008.6769966,1007.9806364,1007.5994792,1007.4388801,1007.6927726,1007.8305491,1007.9725393,1007.7649602,1007.8247114,1009.0332368,1008.4476297,1007.9441056,1007.9666598,1008.0385389,1007.9739391,1007.8028799,1008.0544728,1008.0883942749999,1009.3
std_ratio,0.633500557089589,0.6793868841488719,0.6304705238425874,0.6305186266158884,0.7155253459279234,0.7960185503025424,0.7474937817224523,0.7442184241535283,0.6567801535964144,1.0102913833877871,1.1914041850241786,1.0577040635243065,1.045135708565026,1.2053294748405217,1.263754465373858,1.1692234737158265,1.293173448751033,1.1322959271461592,1.0192735218028424,1.0294664166470424,1.1045965775567328,1.0212494650255923,0.974791864728412,0.919819311432695,0.8724129448438758,1.0150521187436645,0.9751221454175649,1.0
correlation,0.5819467027553681,0.6149062563224664,0.3001405755171294,0.3531637715508363,0.5064711057957442,0.8500189040873444,0.7254108445247948,0.734866877619358,0.6331064900150192,0.9321217448958775,0.9184416256047674,0.8605100886684138,0.8699361393986379,0.8398281756859522,0.8804996596537726,0.9016483885912515,0.9042738240604786,0.9056745126318934,0.8153534357882336,0.8895553558374557,0.8304154713814723,0.8424147723561807,0.852569813232699,0.776176193851313,0.7899113641177855,0.8009900120189792,0.8424099438555926,1.0
