,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,28.783866805555572,29.018330347222243,28.997042569444446,29.23920236111111,29.765172777777778,28.732352152777782,29.134425208333326,28.812987013888897,29.060422404513886,29.135710555555566,29.492166944444445,29.687986249999987,29.83922659722222,29.249527708333332,29.3757304861111,29.308129166666674,29.454518958333324,29.442874583333328,28.22693590277779,28.391111597222228,28.745380277777784,28.64254951388889,28.589394305555555,28.088887569444434,28.798946597222212,28.92458638888889,28.55097401909721,29.650694444444444
std,2.744259046986052,2.699129047178514,2.7649300335106806,2.3890114118274206,2.3327402475865884,1.8131019461394529,2.074518814231042,2.325137509727794,2.375297245226692,2.4345008166293836,2.4797284642194413,2.508735639712229,2.598479197073786,2.582768855967402,2.209124621364425,1.9935226912833997,2.245626212614547,2.3301584969190525,2.4278633137960965,2.5935914471645467,2.5700559020557496,2.341554466319487,2.161766156264123,1.617594747987582,1.747831496548796,1.906375605696292,2.123239785630908,2.32883484600543
min,24.42516,24.78597,24.88708,25.75854,26.44323,26.08859,26.20336,25.38439,25.50047375,25.28567,25.50698,26.16888,25.98464,25.69384,26.1625,26.31466,26.1766,25.93234375,24.00958,24.0856,24.71044,24.90658,25.34017,25.75338,26.56262,26.2767,25.22739,25.9
25%,26.0292775,26.426070000000003,26.1477475,26.9728125,27.4430375,27.06532,27.173455,26.6940125,26.763263124999998,27.0532775,26.969905,27.047717499999997,27.169017500000002,26.814835,27.0603175,27.108977499999998,26.7059125,26.99342,25.9903225,25.732355,26.2408675,26.32544,26.632154999999997,26.7585525,27.18401,27.2988275,26.5808434375,27.9
50%,28.846780000000003,28.71371,28.8569,28.987969999999997,29.13496,28.577725,28.73951,28.32789,28.778494375,28.48831,29.568199999999997,29.777825,29.868360000000003,28.991970000000002,29.02441,29.223505,29.708215,29.385339374999997,28.175665000000002,28.14959,28.439325,28.565224999999998,28.20501,27.791425,28.26927,28.353724999999997,28.296305625000002,29.4
75%,31.578960000000002,31.91005,32.03622,31.7113925,32.1202975,30.336585,31.376345,30.998739999999998,31.6348096875,31.69737,32.1539525,31.3732225,32.1024925,31.9193275,31.51525,31.0690725,31.5668125,31.671175625,30.6002625,31.27502,31.301467499999998,30.760745,30.82846,29.2802,30.5014125,30.733697499999998,30.5255903125,31.6
max,33.32638,33.13021,33.12814,33.19949,33.58849,31.66259,32.29168,32.52062,32.49591,32.92318,33.64651,34.66549,34.31454,34.06799,32.77831,32.75186,32.49328,33.122365,31.8872,32.01995,33.37698,32.44085,32.07934,31.72006,31.99914,32.28179,31.875845,34.1
std_ratio,1.1783828517050854,1.1590040623998035,1.1872589583813853,1.0258397738788603,1.0016769766168079,0.7785446654791361,0.8907968797312495,0.9984123664741715,1.0199509206507098,1.0453728914290332,1.0647936106215665,1.0772492708168537,1.1157850894969508,1.1090390803785577,0.9485965160447768,0.856017203067371,0.9642702729506097,1.000568374745806,1.0425227525088465,1.1136862932179346,1.103580147155595,1.005461795771338,0.9282608253531272,0.6945940158711498,0.7505175815909794,0.8185963074909466,0.9117176296433508,1.0
correlation,0.9438593260060076,0.9487584057584898,0.9443128503874186,0.9461758240802661,0.9392650740015701,0.9048413272913107,0.9295337460188291,0.9399659994390367,0.9455614536868425,0.9083498349917526,0.9226899130198695,0.8400136006641744,0.9167961837575239,0.8950625345099527,0.905218513132683,0.8931680033351781,0.8673247163407013,0.9134981960896317,0.9355687603261643,0.9207275732194524,0.9268878518047957,0.9188380178767322,0.9361141348944767,0.7611807478227974,0.8331535936769894,0.9156477329744943,0.9213402098750645,1.0
bias,-0.8668276388888714,-0.6323640972222009,-0.6536518749999978,-0.4114920833333322,0.11447833333333435,-0.9183422916666615,-0.5162692361111176,-0.8377074305555468,-0.5902720399305572,-0.514983888888878,-0.15852749999999816,0.03729180555554379,0.1885321527777748,-0.40116673611111153,-0.27496395833334475,-0.34256527777776924,-0.19617548611111957,-0.2078198611111155,-1.423758541666654,-1.259582847222216,-0.9053141666666598,-1.0081449305555523,-1.061300138888889,-1.5618068750000091,-0.8517478472222315,-0.726108055555553,-1.0997204253472326,0.0
rmse,1.2812295731639973,1.0868273160682351,1.1552429111780271,0.8785560459972565,0.8203740751133324,1.3830877778023527,1.0060245275398638,1.1627205066880506,0.9761416528346447,1.1469978860062378,0.9699548968422875,1.3795557129566711,1.05605700850926,1.2197466148631606,1.0320744976451963,1.1053227965477124,1.1971258871607517,0.9909613107533869,1.6629778785198943,1.6168683426296402,1.3239970631355902,1.3790162312257344,1.3407175185579012,2.1781690621168948,1.5560546735920429,1.2061057554336925,1.4246222329652547,0.0
centered rmse,0.9434824129830475,0.8839170003435882,0.9525363038415217,0.7762312743714508,0.8123474221755602,1.0342046395383582,0.8634531984172945,0.8063282442435746,0.7774518925791951,1.0248881620389874,0.9569125005203366,1.3790515894591453,1.0390919269200893,1.1518884730337817,0.9947726324679674,1.0508984323087984,1.1809426609109714,0.9689247776467637,0.859306138391746,1.0137624417887445,0.9661130797294413,0.9409195316174286,0.8192468979266757,1.518281840886576,1.3022410498674772,0.9630463046747069,0.9056287830745186,0.0
