,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,2.5475037499999993,2.8680490277777793,3.1424277083333325,2.7650184027777787,2.986260416666665,2.9897495833333334,3.527386874999999,3.0167817361111116,2.980397187499999,2.770821527777778,2.961411458333335,3.441880208333336,3.531094583333333,3.3610120138888893,3.2011551388888897,3.226427638888889,3.293403402777779,3.2234007465277776,2.704722291666667,2.6640295138888903,2.585379027777776,2.976820069444443,3.0254404166666653,3.1222748611111113,3.3447174305555567,3.589070138888889,3.0015567187500003,2.4569444444444457
std,1.648047931582356,1.5622028179035272,1.8457009863436407,1.2664720842932058,1.3497795835122461,1.3366030391188595,1.2112235918256775,1.3059365702779546,1.2579382204325242,1.7648319660713057,2.178354497410886,1.6687091608987223,1.5691795655395113,1.2393520927263768,1.5201590005900638,1.2658959616671737,1.3612413326951716,1.454051188189445,1.5795662944938393,1.689215664113546,1.2650965389350501,1.3657197486574293,1.258346017900678,1.244785734174419,1.4783802044358223,1.4593130308708357,1.3301410744652526,1.4058732348505454
min,0.23251,0.57626,0.15393,0.84333,0.21052,0.42166,0.8818,0.57896,0.8233499999999999,0.4862,0.16634,0.94463,0.78479,0.64375,0.3453,0.61881,0.74122,0.841455,0.4484,0.49868,0.24762,0.30922,0.50365,0.85067,0.44176,0.19703,0.71757,0.6
25%,1.30356,1.4883475000000002,1.8356325,1.7217974999999999,1.7986,1.7152475,2.5048775,1.7493325,2.019149375,1.2173100000000001,1.0245875,1.893005,2.1803125,2.256815,1.795525,2.373065,2.1145225,1.9970325,1.23675,1.1548850000000002,1.633,1.91527,1.9052375,2.019735,2.2633825,2.426425,1.9496590625,1.4
50%,1.77405,2.428665,2.84633,2.569595,3.4043099999999997,3.22942,3.4829,3.116435,2.80723625,1.79826,2.344995,3.0767949999999997,3.4400500000000003,3.5827850000000003,3.3519699999999997,3.33356,3.2431,2.7998812499999994,2.12633,1.89948,2.28368,2.70462,3.0657750000000004,3.338285,3.3776450000000002,3.41824,2.4734412499999996,1.9
75%,4.2632,4.4168425000000004,4.69966,3.810625,3.9127,4.1363975,4.4450075,4.0452,4.016631875000001,4.43774,5.265075,5.3085675000000005,5.1512175000000004,4.402794999999999,4.6313525,4.3518425,4.50779,4.796986875,4.384705,4.3511275,3.8009424999999997,4.2600525000000005,4.19159,4.3011875,4.6760275,4.9759325,4.3935703125,3.425
max,5.57019,5.6366,6.85504,5.42084,5.35316,5.35323,5.67042,5.49418,5.381805,6.00211,6.49174,6.03413,6.09049,5.17853,5.66037,5.38157,6.08941,5.66405125,5.19888,5.82957,4.71242,5.39017,5.19445,5.31728,5.96676,6.14438,5.09019125,6.5
std_ratio,1.1722592697040395,1.1111974957469055,1.3128502204822559,0.9008437268014716,0.960100491319004,0.950727993097436,0.8615453810488394,0.9289148821563455,0.8947735750629411,1.2553279501468853,1.5494672232254716,1.1869556369185152,1.1161600680920045,0.8815532311191122,1.081291657673295,0.9004339298071549,0.9682532528189723,1.0342690593608328,1.123548165892609,1.201541947196343,0.8998652990712489,0.9714387576363634,0.8950636420889323,0.8854181894335224,1.0515743295966402,1.0380118169231463,0.9461315867548018,1.0
correlation,0.8639896667070758,0.893196948030925,0.7692072993494777,0.746387092564774,0.563557847736985,0.5506771616593908,0.7506172133577116,0.6950128382967181,0.8444154616081406,0.8922819979821298,0.8822114135069163,0.7901533894416297,0.798971927704108,0.6824401344633805,0.7095063514275555,0.6724626001020384,0.8339930402727738,0.8579171127489311,0.8374472478100269,0.8761519063814415,0.8531969214777433,0.8464420828824696,0.7145824047526073,0.6569405022930982,0.7167666210359384,0.7635833475911072,0.8391116443327352,1.0
bias,0.09055930555555358,0.41110458333333355,0.6854832638888868,0.30807395833333295,0.5293159722222192,0.5328051388888877,1.0704424305555533,0.5598372916666658,0.5234527430555533,0.3138770833333324,0.5044670138888891,0.9849357638888905,1.0741501388888874,0.9040675694444436,0.744210694444444,0.7694831944444434,0.8364589583333335,0.7664563020833319,0.2477778472222214,0.2070850694444446,0.12843458333333047,0.5198756249999974,0.5684959722222196,0.6653304166666656,0.887772986111111,1.132125694444443,0.5446122743055546,0.0
rmse,0.8349292764135775,0.8139903394884704,1.3642094901777266,1.0086909364200574,1.3927396483171022,1.4061720268560673,1.4258495293393907,1.201376944746053,0.9198861757120764,0.8728659302916393,1.2540602347948642,1.4225957862558563,1.437856214345007,1.397026218844723,1.344830208935417,1.333239514522699,1.1563051105614024,1.0819756763770283,0.9019507598444763,0.8434463723200553,0.7473361103046459,0.9281994544086867,1.1639597103136057,1.2920253476604948,1.40383447493597,1.501543714182175,0.950822524021269,0.0
centered rmse,0.8300035595042925,0.7025477167729477,1.1794830342227087,0.9604935405367409,1.2882345786171432,1.301321809963274,0.9419128851351783,1.0629622619014714,0.756430963177608,0.8144790413645085,1.1481202482282846,1.026489314160419,0.9558409764471999,1.0650559074613868,1.1201422825426222,1.0887714253011487,0.7983595178453954,0.7636858655679505,0.8672492788177738,0.817629229536867,0.7362172366694975,0.7689496483486048,1.015684270233838,1.1075490669290375,1.0874789000942091,0.9863695745402353,0.7793978078375037,0.0
