,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,LIDAR Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,2.9722940972222216,3.308751805555556,3.5316172222222226,3.387966180555554,3.8980650694444443,3.918115208333332,3.9454689583333353,3.8472593749999993,3.601192239583333,2.721684374999999,2.873399930555556,3.8509614583333334,3.999293680555556,3.9375359027777765,3.908431041666666,3.6718020833333336,3.702238819444444,3.583168411458333,3.0402050694444442,2.5552868749999993,3.223377986111112,3.5318177083333326,3.8989654861111114,4.145098958333334,3.966410555555557,3.8243122222222214,3.523184357638888,2.967222222222223
std,1.2701371369781802,1.25379421977167,1.5970633639857057,1.4361748042301643,1.8356924606031573,1.868960917423238,1.7059823417672972,1.7415372711611314,1.243195952537507,1.492178483631268,1.941361378766448,1.2004015835040884,1.384035792923255,1.3648847164771079,1.3340441519215165,1.4005338511983936,1.3902356411566912,1.1525166831703597,1.2415836262075388,1.4993819813961267,1.4716020892176305,1.3394120000694953,1.5630714464040514,1.2114491075709009,1.4983856974182146,1.5492256364706334,1.143150720334355,1.3188028264534957
min,0.55656,1.14724,0.49302,0.89403,0.84866,0.76921,1.29767,0.94404,1.5190525,0.28309,0.11427,0.91409,0.68772,1.15561,0.9297,0.29654,0.57537,1.43885,0.16205,0.2687,0.08697,0.52211,0.39507,1.31604,0.58999,0.6773,1.1114725,0.95
25%,2.0781825,2.2925325,2.56149,2.303805,2.3098475,2.2140825,2.33652,2.450275,2.5009178125,1.37535,1.2419,3.05909,2.9761775,2.7867525,2.81065,2.5792125,2.7655675,2.4176971875,2.1492825,1.300415,2.1633775,2.3855925,2.7849649999999997,3.3197725,2.8387225,2.545605,2.6185290625000004,2.02
50%,2.8859649999999997,3.128005,3.39669,3.220765,3.73573,4.004575,3.86584,3.4572000000000003,3.6980524999999997,2.43987,2.267715,4.045775,4.1593350000000004,4.156295,4.1974,3.82296,3.65777,3.65482,3.28332,2.104255,3.32069,3.574205,4.11684,4.2927800000000005,4.210355,4.322035,3.7901781249999997,2.5149999999999997
75%,3.9937075,4.32466,4.6889125,4.432135,5.254765,5.0818325,5.1783825,5.2654225,4.681536250000001,3.67751,4.5640525,4.959505,5.0860775,4.9849524999999995,5.0497375,4.6065975,4.6203425000000005,4.6339678125,4.0289850000000005,3.9874425000000002,4.5685,4.707257500000001,5.1803825,5.0588025,5.32227,5.19006,4.330376875,3.68
max,5.68345,5.66514,7.16299,6.85451,8.05095,7.73933,7.57453,7.51621,5.812445,5.75408,6.43148,5.73845,6.75383,6.78783,6.20466,6.34132,6.88097,5.533016249999999,5.26646,5.56162,5.34154,5.66906,6.83526,6.50131,6.6771,5.92307,5.3271837500000006,6.29
std_ratio,0.9630985857027722,0.9507063486839455,1.2109947991850336,1.0889988824882213,1.3919385246842952,1.4171647800067422,1.2935840806127166,1.3205440845501117,0.9426700698547109,1.1314644264480471,1.4720634046464152,0.9102206633361486,1.049463775146117,1.0349422135737567,1.0115569402508846,1.061973649969107,1.054164893546135,0.8739112929183583,0.9414475017060636,1.1369265756187692,1.1158620983358372,1.0156271833837522,1.185219969999184,0.9185975972076972,1.136171129878187,1.1747211981921415,0.8668094254912224,1.0
correlation,0.6855529838698619,0.7180305061627351,0.1966046713257003,0.47826422975192795,0.27752403808013093,0.26844174613726346,0.36570489865283223,0.3654648207872246,0.507098515825551,0.72589474882568,0.6768667291087471,0.4725556526640378,0.5138471892675763,0.48887547271582377,0.5025522288196664,0.3752037054484738,0.4954698344003744,0.6754390017853894,0.5332428075499879,0.668491952360732,0.6085088775287577,0.6967453566070486,0.4270860851409634,0.26905169186223893,0.3800939477818315,0.41753001300978193,0.6236039443892631,1.0
bias,0.005071874999998727,0.34152958333333316,0.5643949999999998,0.4207439583333312,0.9308428472222214,0.9508929861111093,0.9782467361111125,0.8800371527777764,0.63397001736111,-0.24553784722222405,-0.09382229166666667,0.8837392361111105,1.0320714583333332,0.9703136805555537,0.941208819444443,0.7045798611111107,0.7350165972222213,0.61594618923611,0.07298284722222137,-0.4119353472222236,0.25615576388888917,0.5645954861111098,0.9317432638888885,1.1778767361111115,0.999188333333334,0.8570899999999986,0.5559621354166651,0.0
rmse,1.027535688702655,1.0263263820106696,1.9442767010135589,1.4721309429056975,2.152150347387565,2.1938887184924565,1.9902305945918184,1.9666977098769944,1.4226342658127122,1.081279557190423,1.4321314427936407,1.5700321020154424,1.686460027273393,1.6684407711636795,1.623720128393651,1.676647024163023,1.5477113337044097,1.1805374806825675,1.240898660079382,1.2301790212830253,1.2682817221439036,1.1792129308918888,1.8137813333243817,1.9324947191675366,1.865633779817048,1.7798353200702144,1.2144339089702454,0.0
centered rmse,1.0275231713404926,0.9678343794881801,1.8605564151831477,1.4107246487484422,1.940433640075239,1.9771065318017558,1.7332198772623348,1.7588162188717165,1.273565966627417,1.0530321202980437,1.4290548789408366,1.297692476635654,1.333782564170292,1.3572715160232245,1.3230997746015565,1.521417911998991,1.3620429414247366,1.0071142116273886,1.2387505756197021,1.1591590460820154,1.242144416463241,1.0352657018589948,1.5561674766276452,1.5320385876793874,1.5755037527486249,1.5598751547702288,1.079701728830555,3.700743415417188e-17
