,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_60d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_60d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_60d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,2.436019513888889,3.216901875,2.462388611111109,6.39772361111111,5.44252284722222,5.198846527777778,4.460338611111112,4.998661041666666,5.458827013888887,4.452469961419753,2.340693680555556,3.4584561111111096,3.207082847222222,6.24210888888889,4.722181805555555,4.5492595138888845,5.170846666666669,5.024336250000002,4.519113680555557,4.359342160493826,3.015661944444444,2.7228854166666654,4.270796458333334,8.334161527777779,4.576000694444445,4.95745013888889,5.2998171527777735,5.3818825,5.467100833333336,4.89175074074074,2.236805555555554
std,1.5512678406666496,1.4647991292096296,1.326461653761412,2.8145406954588346,1.399177501585834,1.8896519563045788,1.743131388345575,1.7699114679113344,1.6259560573633285,1.3425326862506854,1.5511890500555203,1.295925351752728,1.4495777576536744,2.9024600896067247,2.0990119082742944,1.8432001379339207,1.8919678761128729,1.85722551390541,1.9034899781650148,1.5481133486267877,1.8299546963716364,1.337067228502717,1.3655247507523682,2.5446910409949357,1.7122177059833403,2.062916678757485,1.6101411199961042,1.4038566122666734,1.5672540759865734,1.3526387343890327,1.5086669303182214
min,0.27369,0.53103,0.37728,0.1676,0.72768,0.08772,0.16471,0.16195,0.60942,0.9483088888888889,0.28752,1.07232,0.692,0.22866,0.16713,0.34151,0.37719,0.57841,0.24542,1.0053122222222222,0.3945,0.25548,1.24,2.48465,1.31519,1.12528,1.33477,1.96868,1.58963,1.6100655555555556,0.3
25%,1.1876175,2.2838575,1.429165,4.3600200000000005,4.765115,4.119562500000001,3.1814175000000002,4.0777925,4.3745175000000005,4.0159102777777775,1.037195,2.3547725,1.6281075,5.1587825,3.8311450000000002,3.94243,4.4245,4.123345,3.933655,4.065536111111112,1.53296,1.5386125,3.7536025,6.608885,3.30752,3.60603,4.700175,4.842365,4.367335,4.298031111111111,1.0
50%,1.667615,2.873135,1.991325,6.9479500000000005,5.783305,5.62166,5.1502,5.73667,6.0331150000000004,4.7321172222222225,1.6061999999999999,3.028685,3.73602,7.028755,5.4633,5.19283,5.676875,5.178845,4.989269999999999,4.735973888888889,2.5967149999999997,2.446365,4.632275,8.326045,4.79415,5.5206,5.881035,5.72727,6.043425,5.386073888888888,1.5
75%,3.7457125000000002,4.1995625,3.8260924999999997,8.411535,6.3786375,6.6377625,5.8321125,6.232537499999999,6.465425,5.486266666666666,3.7485225,4.6568575,4.4906,8.0829625,6.1733150000000006,5.888092500000001,6.503615,6.4630025,5.745125,5.40538,4.8072725,3.7495700000000003,5.2160625000000005,10.1256725,5.64648,6.51234,6.240024999999999,6.5719475,6.727914999999999,5.733183888888889,3.3249999999999997
max,5.5775,6.52124,5.00366,11.28965,8.19584,8.08536,6.92441,7.74879,8.21214,6.232827777777778,5.27509,5.81888,5.4208,10.67496,7.34653,6.9231,8.37929,8.08675,7.55612,6.52747,6.25521,5.548,6.21844,14.00808,8.06536,7.98244,7.81082,7.29917,8.19418,6.8736588888888885,5.5
std_ratio,1.0282374522118294,0.970922805937465,0.8792276327563056,1.8655812220031671,0.9274263745482293,1.252530905483556,1.1554116772334224,1.1731625001802146,1.0777435527272858,0.8898801049264774,1.0281852268932081,0.8589870472466576,0.9608335203237447,1.9238574341882817,1.3913023915965017,1.2217409296199901,1.254065982419196,1.2310374653162626,1.2617032559754682,1.0261465387196138,1.2129613631722187,0.8862573982586672,0.9051200919903107,1.686714933466585,1.134920950127928,1.3673771442198683,1.067260829835038,0.9305278614217118,1.0388337176953923,0.8965787658006941,1.0
correlation,0.9316419264621321,0.8415967335735399,0.8762700804925485,0.3111385237428051,0.23334759121037185,0.06379016504319603,0.5116690049265407,0.34665757449207996,0.25151591390749384,0.5857499655238819,0.9372087221160957,0.8791376430162168,0.5919310647749652,0.17303741862339644,0.34243594497943325,0.4685983504535307,0.3901458231826062,0.4009863950495079,0.5023640467208327,0.5723796436016028,0.8771927954763515,0.728966524335671,0.19947752283348538,-0.1078951781397998,0.016562472739227358,0.07236953386178284,0.1384730023030058,-0.014629181323918489,0.10369936458778503,0.2563162719272241,1.0
