Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layler Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-11 00:10:00,27.09847,0.01751,27.55398,1.23185,264.40535,1.22599,0.12009,1006.5683594,1006.9685256,27.01418,29.36382,0.0,0.0028
2015-08-11 00:20:00,27.02413,0.01742,27.41545,1.02401,250.22612,0.96363,0.34643,1006.5403125,1006.9405885,26.86141,29.31606,0.0,0.0017
2015-08-11 00:30:00,26.99658,0.01731,27.2474,0.98734,242.44992,0.87538,0.45667,1006.5545312,1006.9548761,26.77511,29.27169,0.0,0.00105
2015-08-11 00:40:00,27.04495,0.01719,27.06327,0.89955,236.43289,0.74954,0.49737,1006.5425781,1006.9428828,26.66171,29.22732,0.0,0.00048
2015-08-11 00:50:00,27.05905,0.01713,26.97194,0.65992,206.81193,0.29766,0.58897,1006.565,1006.9653093,26.61346,29.18578,0.0,0.00037
2015-08-11 01:00:00,27.05361,0.01709,26.91154,0.62387,165.34503,-0.15784,0.60358,1006.5984375,1006.998777,26.58532,29.14553,0.0,0.00046
2015-08-11 01:10:00,27.02554,0.01704,26.83414,0.65914,137.52621,-0.44509,0.48617,1006.5697656,1006.9701432,26.54073,29.10531,0.0,0.00084
2015-08-11 01:20:00,27.04864,0.01697,26.72918,0.44659,121.60244,-0.38037,0.23403,1006.6580469,1007.0584458,26.52499,29.06735,0.0,0.00433
2015-08-11 01:30:00,27.02438,0.01696,26.71623,0.18739,25.543,-0.0808,-0.16907,1006.7479688,1007.1484382,26.51864,29.03121,0.0,0.00576
2015-08-11 01:40:00,26.85623,0.01707,26.88852,0.74717,324.62956,0.43251,-0.60926,1006.8842969,1007.2850185,26.57427,28.99508,0.0,0.00316
2015-08-11 01:50:00,26.84985,0.01706,26.87364,0.95087,311.24977,0.7149,-0.62695,1006.90125,1007.3019892,26.46398,28.95895,0.0,0.00116
2015-08-11 02:00:00,26.9353,0.01694,26.68743,0.5727,282.3336,0.55948,-0.12233,1006.8185938,1007.2192151,26.31429,28.92281,0.0,0.00056
2015-08-11 02:10:00,26.80084,0.01686,26.55932,0.53629,164.68564,-0.14164,0.51724,1006.61375,1007.0144887,26.25424,28.88421,0.0,0.00029
2015-08-11 02:20:00,26.63833,0.01685,26.53941,1.12293,129.92063,-0.86121,0.72061,1006.4405469,1006.8414363,26.28881,28.84356,0.0,0.0002
2015-08-11 02:30:00,26.64016,0.01681,26.47589,1.36824,122.90796,-1.1487,0.74336,1006.3579688,1006.7588326,26.31738,28.79922,0.0,0.00041
2015-08-11 02:40:00,26.63677,0.01681,26.47376,1.54061,117.15098,-1.37085,0.70304,1006.276875,1006.677711,26.30105,28.75485,0.0,0.00046
2015-08-11 02:50:00,26.58312,0.01688,26.58177,1.38029,111.93503,-1.28037,0.51561,1006.3028906,1006.7037918,26.12356,28.71423,0.0,0.00021
2015-08-11 03:00:00,26.65518,0.01695,26.69046,1.06191,108.09693,-1.00938,0.32986,1006.3549219,1006.7557305,26.01913,28.67611,0.0,0.0002
