Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-11 01:00:00,0.0,1.45262,1.4829,-0.00648,0.0011,-0.0249
2015-08-11 02:00:00,0.0,1.45114,1.47675,-0.00999,0.00542,-0.02104
2015-08-11 03:00:00,0.0,1.452,1.47125,-0.00935,0.00504,-0.01494
2015-08-11 04:00:00,0.0,1.45556,1.4671,-0.01012,0.00332,-0.00475
2015-08-11 05:00:00,0.0,1.4545,1.46071,-0.00508,-0.00133,0.00019
2015-08-11 06:00:00,0.01142,1.48266,1.46234,-0.00303,0.00183,0.03294
2015-08-11 07:00:00,0.38079,1.45629,1.49563,0.05639,0.05641,0.22865
2015-08-11 08:00:00,1.00379,1.46733,1.55405,0.24532,0.14389,0.52786
2015-08-11 09:00:00,1.61915,1.48464,1.6174,0.49791,0.23548,0.753
2015-08-11 10:00:00,2.16127,1.48422,1.66818,0.80778,0.32688,0.84266
2015-08-11 11:00:00,2.57661,1.48528,1.70601,1.14282,0.37702,0.83605
2015-08-11 12:00:00,2.83345,1.4887,1.73068,1.35429,0.44066,0.79652
2015-08-11 13:00:00,2.90572,1.51271,1.75015,1.46243,0.45654,0.74931
2015-08-11 14:00:00,2.78222,1.52199,1.7515,1.4771,0.44025,0.63536
2015-08-11 15:00:00,2.31512,1.55371,1.72705,1.29837,0.39655,0.44686
2015-08-11 16:00:00,1.81918,1.56988,1.69904,1.06948,0.33351,0.28703
2015-08-11 17:00:00,1.1932,1.55391,1.65488,0.77232,0.21646,0.10345
2015-08-11 18:00:00,0.82626,1.52983,1.62831,0.4745,0.19289,0.06039
2015-08-11 19:00:00,0.26631,1.48402,1.57403,0.21817,0.10942,-0.15129
2015-08-11 20:00:00,0.00075,1.47169,1.5394,0.08057,0.0432,-0.19073
2015-08-11 21:00:00,0.0,1.4774,1.5236,0.04567,0.03549,-0.12736
2015-08-11 22:00:00,0.0,1.48846,1.51278,0.02886,0.02523,-0.07841
2015-08-11 23:00:00,0.0,1.48057,1.50217,0.01505,0.02058,-0.05721
2015-08-12 00:00:00,0.0,1.48062,1.49406,0.00097,0.01311,-0.02752
