Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-11 01:00:00,0.0,1.39686,1.44242,-0.00431,-0.0032,-0.03805
2015-08-11 02:00:00,0.0,1.39189,1.43322,-0.00424,-0.00423,-0.03286
2015-08-11 03:00:00,0.0,1.39573,1.42748,-0.00591,-0.00537,-0.02047
2015-08-11 04:00:00,0.0,1.39925,1.42094,-0.00702,-0.00228,-0.01239
2015-08-11 05:00:00,0.0,1.39274,1.41418,-0.00727,-0.00178,-0.01238
2015-08-11 06:00:00,0.01338,1.38955,1.4158,-0.03022,0.00351,0.01384
2015-08-11 07:00:00,0.39138,1.41548,1.45519,0.01474,0.06147,0.27546
2015-08-11 08:00:00,1.02564,1.40485,1.52105,0.15477,0.1496,0.60507
2015-08-11 09:00:00,1.65185,1.45598,1.60129,0.37612,0.23039,0.90003
2015-08-11 10:00:00,2.19335,1.47616,1.66932,0.65036,0.31727,1.03255
2015-08-11 11:00:00,2.61133,1.47969,1.71792,0.95662,0.38017,1.03631
2015-08-11 12:00:00,2.86899,1.509,1.74977,1.25513,0.40863,0.96445
2015-08-11 13:00:00,2.93566,1.49691,1.75992,1.4174,0.41793,0.83733
2015-08-11 14:00:00,2.80297,1.51376,1.75704,1.44626,0.41258,0.70084
2015-08-11 15:00:00,2.49879,1.53221,1.73948,1.39016,0.35788,0.54348
2015-08-11 16:00:00,2.05761,1.53401,1.71221,1.18024,0.30784,0.39134
2015-08-11 17:00:00,1.49592,1.52197,1.66827,0.90597,0.24302,0.20062
2015-08-11 18:00:00,0.87201,1.51446,1.61943,0.56275,0.16905,0.03524
2015-08-11 19:00:00,0.24592,1.53299,1.56672,0.26026,0.07512,-0.12319
2015-08-11 20:00:00,0.00072,1.49195,1.52931,0.10029,0.01984,-0.15677
2015-08-11 21:00:00,0.0,1.47096,1.51212,0.02878,0.01667,-0.08661
2015-08-11 22:00:00,0.0,1.45201,1.49631,-0.01009,0.01149,-0.0457
2015-08-11 23:00:00,0.0,1.44832,1.47907,-0.0041,0.00162,-0.02828
2015-08-12 00:00:00,0.0,1.42895,1.4655,-0.00235,0.00035,-0.03455
