Time,Height_1,WindSpeed_1,WindDirection_1,PotentialTemperature_1,MixingRatio_1,Height_2,WindSpeed_2,WindDirection_2,PotentialTemperature_2,MixingRatio_2,Height_3,WindSpeed_3,WindDirection_3,PotentialTemperature_3,MixingRatio_3,Height_4,WindSpeed_4,WindDirection_4,PotentialTemperature_4,MixingRatio_4,Height_5,WindSpeed_5,WindDirection_5,PotentialTemperature_5,MixingRatio_5,Height_6,WindSpeed_6,WindDirection_6,PotentialTemperature_6,MixingRatio_6,Height_7,WindSpeed_7,WindDirection_7,PotentialTemperature_7,MixingRatio_7,Height_8,WindSpeed_8,WindDirection_8,PotentialTemperature_8,MixingRatio_8,Height_9,WindSpeed_9,WindDirection_9,PotentialTemperature_9,MixingRatio_9,Height_10,WindSpeed_10,WindDirection_10,PotentialTemperature_10,MixingRatio_10,Height_11,WindSpeed_11,WindDirection_11,PotentialTemperature_11,MixingRatio_11,Height_12,WindSpeed_12,WindDirection_12,PotentialTemperature_12,MixingRatio_12,Height_13,WindSpeed_13,WindDirection_13,PotentialTemperature_13,MixingRatio_13,Height_14,WindSpeed_14,WindDirection_14,PotentialTemperature_14,MixingRatio_14
2015-08-11 00:10:00,12.16555,2.14006,284.80974,300.104,0.01663,36.51841,2.72902,279.86173,300.09769,0.01656,60.91556,3.11452,275.4711,300.04227,0.01663,85.35918,3.41473,272.18584,300.00125,0.01686,109.85563,3.79463,270.78629,299.96829,0.01736,134.41461,3.9599,275.97169,299.99286,0.01773,159.03749,3.93373,281.86447,300.01514,0.01793,183.71869,3.9245,286.05844,300.02365,0.01806,208.45578,3.89515,289.28271,300.03265,0.01815,233.2472,3.84233,291.947,300.05228,0.01818,258.09005,3.78501,294.02992,300.09796,0.01809,282.97959,3.72702,296.05746,300.19147,0.0178,312.07316,3.72967,295.09716,300.26492,0.01733,412.54818,3.413,316.95981,300.80817,0.01578
2015-08-11 00:20:00,12.16127,1.79495,273.5101,300.12747,0.01654,36.5067,2.44911,265.86594,300.14053,0.01653,60.89885,2.91704,262.8775,300.0744,0.01661,85.34118,3.2353,261.84184,300.00961,0.01677,109.84171,3.64773,263.789,299.96375,0.01716,134.4074,3.81431,270.09291,299.96121,0.01761,159.03619,3.83966,277.45284,299.98398,0.01794,183.72228,3.84308,282.59059,300.00635,0.01809,208.46264,3.86774,286.23708,300.03046,0.01815,233.25479,3.90333,288.79045,300.06348,0.01813,258.09618,3.92162,290.72632,300.1138,0.01798,282.98508,3.87817,293.02514,300.19592,0.0177,312.08255,3.89853,291.48259,300.25372,0.01737,412.55609,3.35353,312.27636,300.75815,0.01585
2015-08-11 00:30:00,12.16141,1.83608,263.06846,300.14651,0.01647,36.50832,2.41077,256.70249,300.16309,0.01646,60.90146,2.75112,256.61298,300.10037,0.01645,85.33983,3.02797,257.95521,300.03757,0.01651,109.82806,3.33075,258.57455,299.97662,0.01673,134.3752,3.79087,262.74194,299.92828,0.01726,158.98721,4.01892,268.62213,299.95624,0.01762,183.66154,4.12395,274.55046,300.01999,0.01775,208.39296,4.14622,279.33997,300.06116,0.01777,233.17809,4.13531,283.13128,300.08829,0.01778,258.01519,4.11022,286.28464,300.10535,0.0178,282.90272,4.08469,289.12372,300.1366,0.01777,312.00149,4.137,290.62839,300.15729,0.01765,412.47072,3.45907,308.40965,300.78607,0.01573
2015-08-11 00:40:00,12.16041,1.91521,256.16168,300.15826,0.01638,36.50458,2.42562,251.36792,300.13858,0.01636,60.89404,2.69857,252.91169,300.07141,0.01641,85.32858,2.86568,256.20959,300.02472,0.0165,109.81382,3.32654,259.37867,299.95929,0.01694,134.36084,3.77324,263.01897,299.9776,0.0174,158.97276,3.95743,268.5518,300.05994,0.01747,183.64257,4.0398,275.11493,300.13974,0.01736,208.36542,4.09847,280.22289,300.19376,0.01724,233.13896,4.15216,284.63808,300.24783,0.01709,257.96292,4.16476,287.73239,300.28546,0.01696,282.83797,4.10751,290.09518,300.33875,0.01683,311.92789,4.18757,288.39306,300.23862,0.01702,412.39618,3.82747,304.5711,300.61163,0.01618
2015-08-11 00:50:00,12.15819,1.89831,246.21593,300.15219,0.01623,36.4965,2.40333,243.65714,300.09756,0.01625,60.87961,2.6503,248.55284,300.03027,0.01636,85.30974,2.79002,252.00369,299.99799,0.01644,109.79361,3.31765,256.13196,299.93973,0.0168,134.34081,3.70352,263.08561,299.9469,0.01722,158.95103,3.88464,271.92857,300.02274,0.01735,183.6161,4.01032,278.91177,300.11148,0.01728,208.33155,4.10816,283.12793,300.1839,0.01716,233.09552,4.22334,286.87852,300.24149,0.01703,257.90714,4.35173,289.57147,300.29953,0.01686,282.76729,4.41999,291.49816,300.3392,0.01675,311.83434,4.66967,289.57516,300.3869,0.01645,412.27275,3.98707,300.40345,300.69119,0.01573
2015-08-11 01:00:00,12.1541,1.92283,239.12861,300.08917,0.01611,36.48406,2.41913,238.55361,300.0289,0.01617,60.86008,2.63107,244.84826,299.97662,0.01631,85.28511,2.75391,249.9461,299.95654,0.01642,109.76283,3.26403,257.27886,299.9296,0.01669,134.30003,3.75753,265.04333,299.9567,0.01696,158.89916,4.03976,271.92177,300.03375,0.01713,183.55713,4.13822,277.66769,300.10962,0.01724,208.27063,4.1556,282.34464,300.17709,0.01727,233.03642,4.18393,286.38444,300.23557,0.01719,257.85216,4.25767,289.70465,300.27786,0.01707,282.71698,4.36915,291.52393,300.31818,0.01693,311.78775,4.57335,291.84292,300.36484,0.01661,412.19038,4.11956,300.27612,300.78247,0.0153
2015-08-11 01:10:00,12.14987,1.88432,237.12906,300.01611,0.01608,36.47217,2.3674,236.24337,299.96768,0.01615,60.84168,2.53854,242.32258,299.93018,0.01622,85.26131,2.66348,249.85984,299.91055,0.01635,109.73476,3.18302,260.11687,299.9006,0.01662,134.26842,3.74522,267.83845,299.94073,0.01693,158.86621,4.02952,275.34749,300.0246,0.01721,183.52643,4.12221,281.54645,300.09659,0.01741,208.24549,4.16615,286.9089,300.14774,0.01753,233.01914,4.23892,290.79748,300.18869,0.01756,257.84312,4.38316,292.4883,300.21432,0.01752,282.71538,4.53562,292.61284,300.23087,0.01744,311.79419,4.75253,291.93282,300.27847,0.01713,412.19356,4.32276,296.98994,300.67371,0.01571
2015-08-11 01:20:00,12.14736,1.79793,238.32702,299.9584,0.01614,36.46499,2.25246,235.90011,299.9209,0.01619,60.82924,2.44792,241.60088,299.87762,0.01625,85.24337,2.65257,250.7989,299.85971,0.01644,109.71296,3.20905,260.68384,299.87042,0.01675,134.24388,3.78025,267.07119,299.91934,0.01705,158.83919,4.11918,272.64754,299.98383,0.01729,183.49783,4.29585,278.20609,300.03583,0.01751,208.21744,4.3772,283.16203,300.06781,0.01773,232.99467,4.38959,287.24404,300.07913,0.01787,257.82642,4.37765,289.69044,300.0842,0.01796,282.71049,4.36021,290.81275,300.10046,0.01796,311.80914,4.47272,290.72987,300.02618,0.01822,412.28262,4.45923,295.07614,300.35361,0.01707
2015-08-11 01:30:00,12.14647,1.62406,234.01443,299.92023,0.01621,36.46168,2.06149,231.00799,299.87064,0.01622,60.82262,2.23939,236.97365,299.81723,0.01628,85.2347,2.5068,247.10553,299.7959,0.01653,109.70608,3.12192,257.58198,299.80844,0.01699,134.24332,3.74028,264.42242,299.8501,0.01752,158.84824,4.1711,270.06694,299.90057,0.01799,183.51782,4.43112,274.81584,299.93765,0.01828,208.24836,4.58066,278.73747,299.95898,0.0184,233.03621,4.6756,281.69746,299.97165,0.01845,257.87781,4.69982,283.41085,299.9805,0.01845,282.77082,4.6655,284.38564,299.98077,0.01844,311.88385,4.56992,284.59875,299.92758,0.01863,412.44609,4.1242,292.4404,300.20459,0.0178
2015-08-11 01:40:00,12.14638,1.67207,230.78749,299.87158,0.01632,36.45994,2.16747,227.2008,299.79776,0.0163,60.81728,2.37374,232.44639,299.72433,0.01637,85.22544,2.55331,239.94549,299.7012,0.01666,109.69632,3.08402,253.7732,299.72171,0.01725,134.24005,3.66281,263.71861,299.76682,0.01786,158.85724,4.0742,271.59036,299.83237,0.01826,183.54047,4.2983,277.63928,299.89584,0.01841,208.28157,4.3994,281.82055,299.94092,0.0184,233.0751,4.45891,284.51102,299.96155,0.01836,257.9186,4.53012,286.23383,299.97467,0.0183,282.81164,4.55866,285.82541,299.98724,0.01822,311.92272,4.56499,284.36678,300.00195,0.01819,412.50496,3.92082,289.70142,300.23456,0.01762
