Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layler Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-11 00:10:00,27.26229,0.01816,28.50259,2.29982,282.19116,2.24796,-0.48566,1004.9735156,1007.1199072,28.13848,29.87069,0.0,2e-05
2015-08-11 00:20:00,27.23818,0.01824,28.62602,2.36731,280.74823,2.32578,-0.44149,1005.024375,1007.170944,28.09448,29.79852,0.0,1e-05
2015-08-11 00:30:00,27.24276,0.01836,28.81284,2.48131,280.81199,2.43727,-0.46546,1005.1601562,1007.3068268,28.04861,29.72909,0.0,0.0
2015-08-11 00:40:00,27.27224,0.01862,29.21176,2.8124,289.50609,2.65099,-0.93908,1005.2548438,1007.4011687,28.01714,29.6639,0.0,0.0
2015-08-11 00:50:00,27.26974,0.01857,29.13578,3.04362,294.97821,2.75894,-1.28524,1005.2613281,1007.4077496,27.9736,29.60272,0.0,0.0
2015-08-11 01:00:00,27.24841,0.01851,29.0444,3.01039,295.67025,2.71327,-1.30408,1005.2624219,1007.4090761,27.93328,29.54324,0.0,0.0
2015-08-11 01:10:00,27.20147,0.01847,28.98297,2.94588,291.64663,2.73812,-1.08668,1005.2460938,1007.3931008,27.88485,29.48489,0.0,0.0
2015-08-11 01:20:00,27.17248,0.01837,28.83029,2.7372,287.82327,2.60583,-0.83781,1005.2369531,1007.3842777,27.8486,29.43105,0.0,0.0
2015-08-11 01:30:00,27.13662,0.0183,28.72403,2.48647,282.89321,2.42378,-0.55482,1005.253125,1007.4008317,27.80877,29.37728,0.0,0.0
2015-08-11 01:40:00,27.07485,0.01835,28.80056,2.37686,279.84927,2.34183,-0.40658,1005.2635938,1007.4117003,27.76061,29.32583,0.0,0.0
2015-08-11 01:50:00,27.01864,0.01847,28.98141,2.21306,280.43181,2.17648,-0.40071,1005.1920312,1007.3402318,27.71069,29.27773,0.0,0.0
2015-08-11 02:00:00,27.00771,0.01846,28.96401,2.37866,282.28898,2.32416,-0.50628,1005.1170312,1007.2651628,27.66311,29.22961,0.0,0.0
2015-08-11 02:10:00,26.96795,0.01853,29.06945,2.39918,279.30379,2.36762,-0.38787,1005.0752344,1007.2234707,27.62902,29.18151,0.0,0.0
2015-08-11 02:20:00,26.94674,0.0186,29.17421,2.02606,276.81456,2.01175,-0.2404,1005.0110938,1007.1592542,27.59911,29.13339,0.0,0.0
2015-08-11 02:30:00,26.90011,0.0186,29.17315,1.94503,269.47531,1.94495,0.01781,1004.974375,1007.1227911,27.55807,29.08547,0.0,0.0
2015-08-11 02:40:00,26.88369,0.01861,29.1879,1.87583,264.38771,1.86683,0.18345,1004.9578906,1007.1063762,27.53872,29.04305,0.0,0.00039
2015-08-11 02:50:00,26.84506,0.01864,29.23359,1.7659,257.06344,1.72107,0.39533,1004.9584375,1007.1071623,27.50619,29.00063,0.0,0.00066
2015-08-11 03:00:00,26.94277,0.01865,29.2491,1.51802,247.41737,1.40162,0.58294,1004.9678906,1007.1159223,27.94958,28.97723,0.0,0.02543
2015-08-11 03:10:00,26.83682,0.01863,29.21969,1.62835,242.33563,1.44221,0.75603,1005.0039062,1007.1528003,27.48623,28.96169,0.0,0.00087
2015-08-11 03:20:00,26.77093,0.01861,29.19069,1.62613,240.69611,1.41804,0.7959,1005.0542969,1007.2037973,27.43521,28.91931,0.0,0.00054
2015-08-11 03:30:00,26.73559,0.01857,29.13161,1.68999,238.76058,1.44496,0.87646,1005.1177344,1007.267676,27.38503,28.87689,0.0,0.0006
2015-08-11 03:40:00,26.72717,0.01845,28.9485,1.8024,243.08111,1.60711,0.816,1005.108125,1007.2582623,27.34866,28.83447,0.0,0.00075
2015-08-11 03:50:00,26.73171,0.01833,28.76609,1.57241,241.62413,1.38348,0.74729,1005.125,1007.2752966,27.31356,28.79205,0.0,0.00056
2015-08-11 04:00:00,26.74365,0.01825,28.64779,1.31088,242.92543,1.16722,0.59664,1005.25375,1007.4043403,27.29305,28.75228,0.0,0.00028
2015-08-11 04:10:00,26.75482,0.01819,28.56075,1.09983,257.62409,1.07427,0.23572,1005.4107812,1007.5617052,27.27731,28.71554,0.0,0.00033
2015-08-11 04:20:00,26.77804,0.0181,28.42905,0.9344,268.42833,0.93405,0.02563,1005.6096094,1007.7609089,27.26052,28.67886,0.0,0.00033
2015-08-11 04:30:00,26.79809,0.01793,28.17488,1.13754,252.55729,1.08523,0.34098,1005.8010938,1007.9528799,27.25631,28.64736,0.0,0.00093
2015-08-11 04:40:00,26.79714,0.01775,27.90189,1.27621,237.11191,1.07168,0.69298,1005.8735156,1008.0256975,27.2412,28.61675,0.0,0.00202
2015-08-11 04:50:00,26.79916,0.01758,27.64037,1.09401,219.84257,0.70091,0.83999,1005.8141406,1007.966402,27.23354,28.58721,0.0,0.0032
2015-08-11 05:00:00,26.80609,0.01735,27.29026,1.19306,189.61331,0.19924,1.17631,1005.8764844,1008.0291285,27.21264,28.56222,0.0,0.00255
2015-08-11 05:10:00,26.75073,0.01693,26.64617,1.64285,167.18818,-0.3643,1.60195,1005.8401562,1007.9936669,27.15292,28.53158,0.0,0.00159
2015-08-11 05:20:00,26.69143,0.01642,25.86151,2.02218,157.40896,-0.77682,1.86701,1005.7385156,1007.8928991,27.10122,28.49978,0.0,0.00169
2015-08-11 05:30:00,26.62643,0.01596,25.15353,2.35408,158.96216,-0.84508,2.19717,1005.6746875,1007.8300013,27.05071,28.46343,0.0,0.00255
2015-08-11 05:40:00,26.57751,0.01576,24.84534,2.53373,164.28939,-0.68608,2.43907,1005.6432031,1007.7990624,27.0082,28.42706,0.0,0.0037
2015-08-11 05:50:00,26.57964,0.01576,24.84756,2.82928,166.95329,-0.6387,2.75624,1005.7332031,1007.88924,27.09106,28.39474,0.0,0.00639
2015-08-11 06:00:00,26.64251,0.01589,25.04837,3.00026,166.13511,-0.71896,2.91284,1005.7713281,1007.9268246,27.32778,28.384,0.0,0.00714
2015-08-11 06:10:00,26.76357,0.01592,25.0946,2.69065,162.30095,-0.81801,2.5633,1005.7764062,1007.9310034,27.6578,28.40289,0.0,0.00783
2015-08-11 06:20:00,26.93255,0.01586,25.0018,2.54523,156.68846,-1.00723,2.33746,1005.7529688,1007.9063794,28.04125,28.45455,0.0,0.00822
2015-08-11 06:30:00,27.10366,0.0158,24.90836,2.55186,151.3613,-1.22307,2.23967,1005.7045312,1007.8566877,28.46008,28.53945,0.0,0.00834
2015-08-11 06:40:00,27.28152,0.01582,24.93923,2.58014,149.16996,-1.3223,2.21554,1005.7091406,1007.8600055,28.90283,28.65536,0.0,0.00888
2015-08-11 06:50:00,27.39324,0.01601,25.23033,2.73007,148.53357,-1.42509,2.3286,1005.6730469,1007.8227872,29.33184,28.79962,0.0,0.00905
2015-08-11 07:00:00,27.47686,0.01636,25.76742,2.94977,145.93682,-1.65219,2.44365,1005.6596875,1007.8083458,29.76022,28.96655,0.0,0.00848
2015-08-11 07:10:00,27.59411,0.01659,26.11928,3.20401,142.7211,-1.94065,2.54942,1005.6214844,1007.7689239,30.19799,29.1542,0.0,0.0072
2015-08-11 07:20:00,27.789,0.01671,26.30284,3.48866,139.68778,-2.257,2.66021,1005.6049219,1007.7507782,30.68237,29.36279,0.0,0.00597
2015-08-11 07:30:00,28.03549,0.01677,26.39388,3.61668,135.77182,-2.5227,2.5916,1005.5697656,1007.7137111,31.22149,29.59442,0.0,0.00535
2015-08-11 07:40:00,28.32269,0.01679,26.42296,3.49889,132.63499,-2.57408,2.36989,1005.5096094,1007.6513562,31.82153,29.85259,0.0,0.00479
2015-08-11 07:50:00,28.62792,0.01681,26.45131,3.26286,130.21362,-2.49166,2.10663,1005.4222656,1007.5616321,32.4345,30.13815,0.0,0.00428
2015-08-11 08:00:00,28.92321,0.01682,26.46517,3.19869,128.81555,-2.49232,2.00499,1005.3665625,1007.5037041,33.03884,30.44662,0.0,0.00414
2015-08-11 08:10:00,29.26748,0.01678,26.40522,3.07053,126.82774,-2.45778,1.84051,1005.4171094,1007.5519744,33.72656,30.77783,0.0,0.00359
2015-08-11 08:20:00,29.24468,0.01673,26.33008,2.34602,125.65636,-1.90621,1.36755,1005.4735938,1007.6088044,32.4186,31.05154,0.0,0.06197
2015-08-11 08:30:00,29.39742,0.01669,26.26971,0.97623,149.85916,-0.49019,0.84424,1005.5091406,1007.6433992,32.1621,31.17324,0.0,0.08902
2015-08-11 08:40:00,30.10677,0.01668,26.25379,1.01866,265.62996,1.0157,0.07762,1005.4860938,1007.6153188,34.3287,31.44195,0.0,0.03045
2015-08-11 08:50:00,30.43585,0.01657,26.08554,2.44261,290.05607,2.29448,-0.83767,1005.5010938,1007.6281815,35.24764,31.72955,0.0,0.00705
2015-08-11 09:00:00,30.72262,0.01633,25.71571,3.08178,276.32102,3.06304,-0.3393,1005.435625,1007.5608732,36.45568,32.16848,0.0,0.00284
2015-08-11 09:10:00,31.0678,0.01635,25.74372,2.93952,285.30429,2.83528,-0.77587,1005.3305469,1007.4531335,37.03204,32.6126,0.0,0.00249
2015-08-11 09:20:00,31.18408,0.01631,25.68084,3.49774,291.90435,3.24523,-1.30486,1005.2717188,1007.3934207,37.46206,33.04824,0.0,0.00222
2015-08-11 09:30:00,31.29952,0.01628,25.6327,3.69688,288.00851,3.51577,-1.14292,1005.1889844,1007.3097449,37.97531,33.47241,0.0,0.00202
2015-08-11 09:40:00,31.55029,0.01621,25.52283,3.65886,285.37296,3.52794,-0.96997,1005.091875,1007.2107732,38.52133,33.89648,0.0,0.00203
2015-08-11 09:50:00,31.72717,0.01597,25.15106,3.53378,273.41604,3.5275,-0.21056,1004.9580469,1007.0757398,39.1864,34.32446,0.0,0.00199
2015-08-11 10:00:00,32.25445,0.01563,24.62569,2.78767,258.35763,2.73032,0.56256,1004.8339844,1006.948191,39.81927,34.76406,0.0,0.00164
2015-08-11 10:10:00,32.40817,0.01536,24.20854,3.29133,251.2042,3.11581,1.06045,1004.750625,1006.8639366,40.15981,35.1986,0.0,0.0013
2015-08-11 10:20:00,32.24935,0.01518,23.93048,3.86026,259.08409,3.79041,0.73101,1004.7035938,1006.8181369,40.57433,35.60977,0.0,0.00122
2015-08-11 10:30:00,32.49523,0.01512,23.8377,4.02733,251.09841,3.81016,1.30463,1004.6852344,1006.7981127,41.018,36.00863,0.0,0.00124
2015-08-11 10:40:00,32.66525,0.01543,24.31145,4.19355,257.81493,4.09907,0.88513,1004.5544531,1006.6654847,41.33047,36.40048,0.0,0.00126
2015-08-11 10:50:00,32.73211,0.01567,24.67833,4.22498,257.82357,4.12993,0.89114,1004.4742969,1006.5843918,41.95596,36.78344,0.0,0.0011
2015-08-11 11:00:00,33.39877,0.01582,24.90343,3.3143,265.89099,3.30578,0.23748,1004.2611719,1006.3660353,42.37591,37.18038,0.0,0.03305
2015-08-11 11:10:00,33.497,0.01571,24.73164,4.10982,279.22306,4.05669,-0.65872,1004.1435938,1006.2476758,42.32458,37.24255,0.0,0.00031
2015-08-11 11:20:00,33.33303,0.01632,25.66596,5.42385,307.06331,4.32807,-3.26894,1004.0875781,1006.1918932,42.28793,37.58096,0.0,0.00021
2015-08-11 11:30:00,32.46093,0.01716,26.95283,7.35123,323.35653,4.38746,-5.89837,1004.1364844,1006.2458423,41.37191,37.70599,0.0,0.00016
2015-08-11 11:40:00,32.46777,0.01667,26.19863,8.50293,322.27127,5.20314,-6.72511,1003.9578906,1006.0674508,41.63995,37.90521,0.0,7e-05
2015-08-11 11:50:00,32.60079,0.01673,26.28996,8.33333,317.47461,5.63264,-6.14148,1003.9389062,1006.0474312,41.93243,38.11144,0.0,4e-05
2015-08-11 12:00:00,32.43023,0.01725,27.0839,8.16192,314.67264,5.80423,-5.73828,1003.89625,1006.0052006,41.95889,38.31213,0.0,2e-05
2015-08-11 12:10:00,32.46093,0.01728,27.1283,8.26401,310.52101,6.28204,-5.36935,1003.8432812,1005.9518703,42.13638,38.49291,0.0,0.0
2015-08-11 12:20:00,32.49017,0.01728,27.13141,7.97717,308.60782,6.23364,-4.97764,1003.9585938,1006.0672231,42.34512,38.67318,0.0,0.0
2015-08-11 12:30:00,32.58087,0.0168,26.39751,7.57732,305.56204,6.16404,-4.40685,1003.9557031,1006.0643117,42.50121,38.85336,0.0,0.0
2015-08-11 12:40:00,32.64556,0.01666,26.18396,7.47322,305.92138,6.05198,-4.38435,1003.9823438,1006.0907402,42.61328,39.02743,0.0,0.0
2015-08-11 12:50:00,32.64736,0.01627,25.58407,7.5011,306.67656,6.01603,-4.48039,1003.8817188,1005.9903886,42.64343,39.18215,0.0,0.0
2015-08-11 13:00:00,32.76901,0.01593,25.06599,7.50211,306.93239,5.99678,-4.50781,1004.0101562,1006.1186898,42.78695,39.32479,0.0,0.0
2015-08-11 13:10:00,33.00549,0.01584,24.92637,7.08713,307.63121,5.61271,-4.32724,1003.9488281,1006.0557173,42.97689,39.47326,0.0,0.0
2015-08-11 13:20:00,33.15551,0.01591,25.03411,6.80896,306.5002,5.47342,-4.05015,1003.9621875,1006.0679825,43.1112,39.61855,0.0,0.0
2015-08-11 13:30:00,33.07363,0.0158,24.86845,6.75091,304.48314,5.56472,-3.82212,1004.0886719,1006.1954361,43.07382,39.7485,0.0,0.0
2015-08-11 13:40:00,33.21526,0.01637,25.73952,6.5815,306.30822,5.30366,-3.89709,1003.9684375,1006.073249,43.12191,39.8659,0.0,0.0
2015-08-11 13:50:00,33.20403,0.01646,25.87731,5.86955,297.49922,5.20639,-2.71019,1003.965625,1006.0703933,42.50591,39.93588,0.0,0.01872
2015-08-11 14:00:00,33.16885,0.01635,25.70698,5.9637,305.47773,4.85649,-3.46125,1003.8942969,1005.9992976,43.07787,40.01785,0.0,0.0
2015-08-11 14:10:00,33.00387,0.01624,25.53995,6.10788,313.18248,4.45373,-4.17977,1003.9542969,1006.0606991,42.88217,40.09548,0.0,0.0
2015-08-11 14:20:00,32.81182,0.01625,25.55333,6.25533,318.02009,4.184,-4.65008,1003.8779688,1005.9855216,42.68301,40.13934,0.0,0.0
2015-08-11 14:30:00,32.51431,0.01599,25.1541,6.53235,320.75967,4.1322,-5.0593,1003.8533594,1005.9632457,42.30087,40.14803,0.0,0.0
2015-08-11 14:40:00,32.51754,0.01618,25.44316,6.90342,321.92158,4.25761,-5.43414,1003.7642188,1005.873653,42.05749,40.1271,0.0,0.0
2015-08-11 14:50:00,32.36871,0.01672,26.26679,6.85651,323.03547,4.12296,-5.47841,1003.6386719,1005.748182,41.81094,40.08782,0.0,0.0
2015-08-11 15:00:00,32.14459,0.0174,27.30674,7.07264,322.13188,4.34151,-5.58333,1003.6661719,1005.7764227,41.4353,40.02264,6e-05,0.00063
2015-08-11 15:10:00,31.53491,0.01723,27.04897,6.23631,305.93826,5.04923,-3.66017,1003.7345312,1005.8493704,37.10116,39.83984,0.00104,0.48263
2015-08-11 15:20:00,30.96697,0.01758,27.58061,2.31522,247.837,2.14416,0.8734,1003.6361719,1005.7543092,36.62469,39.29672,0.00692,0.57042
2015-08-11 15:30:00,30.04952,0.01817,28.48566,1.57615,96.24152,-1.56681,0.17136,1003.8375,1005.9617224,35.45468,38.77328,0.01682,1.51074
2015-08-11 15:40:00,29.21917,0.01827,28.64691,3.54249,86.62108,-3.53633,-0.20879,1004.151875,1006.2824755,34.52709,38.20925,0.05279,1.50018
2015-08-11 15:50:00,28.80065,0.01828,28.65592,3.93031,97.03917,-3.90069,0.48165,1003.9342188,1006.0673003,33.90713,37.64306,0.06401,2.12693
2015-08-11 16:00:00,29.2756,0.01821,28.55278,3.37254,105.82807,-3.24467,0.91987,1004.0557812,1006.1858571,33.88967,37.12994,0.05808,2.83947
2015-08-11 16:10:00,28.90786,0.01841,28.86081,3.1214,108.45484,-2.96088,0.9881,1004.1760156,1006.3086853,33.56814,36.66348,0.2192,0.86676
2015-08-11 16:20:00,28.74197,0.01853,29.04297,3.12568,105.21236,-3.01616,0.82017,1004.1584375,1006.2920884,33.02178,36.21969,0.02269,1.89858
2015-08-11 16:30:00,28.01711,0.01879,29.43579,4.21763,79.85181,-4.15165,-0.74312,1004.0654688,1006.2037269,32.26373,35.77221,0.32514,3.93418
2015-08-11 16:40:00,27.59359,0.01857,29.09702,3.12426,56.25253,-2.59781,-1.73563,1003.9236719,1006.0649265,32.24352,35.29806,1.73107,0.38882
2015-08-11 16:50:00,29.26187,0.01822,28.56442,3.03713,63.65796,-2.72176,-1.34766,1003.9297656,1006.0596581,35.82345,35.20599,0.06697,0.05001
2015-08-11 17:00:00,29.42257,0.01812,28.41576,2.9819,93.32321,-2.97688,0.17286,1004.0595312,1006.188695,35.56677,35.18276,0.01961,0.01073
2015-08-11 17:10:00,29.64141,0.01804,28.28565,3.01447,99.01395,-2.97724,0.47229,1003.7685938,1005.8957034,35.30193,35.16027,0.01151,0.00833
2015-08-11 17:20:00,29.34115,0.01814,28.44483,3.28557,62.29289,-2.90883,-1.52763,1004.0098438,1006.1394502,34.99752,35.11224,0.0118,0.17028
2015-08-11 17:30:00,29.05819,0.01817,28.48198,3.73582,21.86236,-1.39114,-3.46714,1003.7086719,1005.8395964,34.25891,35.00717,0.0487,0.00023
2015-08-11 17:40:00,28.91744,0.01799,28.21217,3.54939,9.53986,-0.58825,-3.50031,1003.8658594,1005.9983436,33.25485,34.85577,0.00011,0.02032
2015-08-11 17:50:00,29.34133,0.01779,27.90453,2.98738,5.07689,-0.26436,-2.97566,1003.7678125,1005.8973544,33.76208,34.71246,0.0,0.0
2015-08-11 18:00:00,29.48092,0.01783,27.96447,2.8599,354.10551,0.2937,-2.84478,1003.7296875,1005.8581138,33.42654,34.56805,0.0,0.0
