Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layler Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-15 00:10:00,24.01162,0.01515,23.93016,2.02916,240.24161,1.76157,1.00716,1006.6385938,1007.0435229,23.71502,26.19985,0.0,0.0
2015-08-15 00:20:00,23.96935,0.01511,23.86696,2.08746,248.13173,1.93726,0.77753,1006.574375,1006.9793457,23.67159,26.15243,0.0,0.0
2015-08-15 00:30:00,23.93392,0.01507,23.80454,2.13282,251.3132,2.02038,0.68334,1006.5434375,1006.9484538,23.6224,26.105,0.0,0.0
2015-08-15 00:40:00,23.89813,0.01504,23.75952,2.08973,246.87966,1.92189,0.82056,1006.5965625,1007.0016564,23.574,26.0584,0.0,0.0
2015-08-15 00:50:00,23.77966,0.01499,23.68404,1.84411,237.21083,1.55029,0.99868,1006.666875,1007.0721711,23.42602,26.0151,0.0,0.0
2015-08-15 01:00:00,23.68652,0.01489,23.52979,1.45102,216.06483,0.85422,1.17294,1006.6691406,1007.0745893,23.32589,25.97512,0.0,0.0
2015-08-15 01:10:00,23.6162,0.01479,23.37561,1.28239,188.11565,0.18104,1.26955,1006.6767969,1007.0823693,23.25024,25.93594,0.0,0.0
2015-08-15 01:20:00,23.61682,0.01477,23.34502,1.35522,159.14551,-0.48245,1.26644,1006.6892969,1007.0948784,23.30248,25.89672,0.0,0.0
2015-08-15 01:30:00,23.61886,0.01474,23.29765,1.68448,135.75046,-1.1754,1.2066,1006.6435938,1007.0491614,23.3449,25.85754,0.0,0.0
2015-08-15 01:40:00,23.59606,0.01476,23.32749,1.75645,123.70272,-1.46124,0.97463,1006.5989062,1007.0044821,23.3149,25.81832,0.0,0.0
2015-08-15 01:50:00,23.59356,0.01475,23.31298,1.76254,124.41597,-1.45402,0.99618,1006.6391406,1007.0447386,23.29962,25.78137,0.0,0.0
2015-08-15 02:00:00,23.59399,0.01447,22.87959,1.9202,125.62577,-1.56081,1.11849,1006.5995312,1007.0051813,23.31918,25.74532,0.0,0.0
2015-08-15 02:10:00,23.70062,0.01388,21.96785,2.426,124.82611,-1.99148,1.38546,1006.6357031,1007.0413668,23.71343,25.71023,0.0,0.00774
2015-08-15 02:20:00,23.88589,0.01385,21.92211,3.09326,129.95289,-2.37121,1.98636,1006.6682031,1007.0736342,24.05465,25.70681,0.0,0.03816
2015-08-15 02:30:00,23.94921,0.01399,22.14066,3.44567,134.13286,-2.47305,2.39931,1006.7508594,1007.156203,24.09365,25.70461,0.0,0.04311
2015-08-15 02:40:00,23.69476,0.01405,22.23565,3.52668,138.09725,-2.35536,2.62483,1006.8477344,1007.2534498,23.40649,25.68966,0.0,0.0
2015-08-15 02:50:00,23.90438,0.01407,22.2665,3.47355,139.32317,-2.26403,2.63433,1006.8429688,1007.248391,24.0809,25.67065,0.0,0.09036
2015-08-15 03:00:00,23.70855,0.0141,22.31533,3.27272,136.89131,-2.23653,2.38928,1006.9514844,1007.3572105,23.39556,25.65115,0.0,0.0
2015-08-15 03:10:00,23.54302,0.01408,22.28498,3.40501,129.63657,-2.62222,2.17211,1006.9790625,1007.3850311,23.3088,25.61321,0.0,0.0
2015-08-15 03:20:00,23.29427,0.01415,22.39212,3.73125,128.08112,-2.93701,2.30135,1006.9257031,1007.3319736,23.17153,25.56704,0.0,0.0
2015-08-15 03:30:00,23.17578,0.0142,22.47122,4.01655,128.95536,-3.12341,2.52526,1007.0038281,1007.4102804,23.09487,25.51669,0.0,0.0
2015-08-15 03:40:00,23.17089,0.01421,22.48634,4.12898,130.04249,-3.16101,2.6564,1006.9882812,1007.3947315,23.07098,25.4671,0.0,0.0
2015-08-15 03:50:00,23.31899,0.01421,22.48801,4.12609,133.12751,-3.01136,2.8207,1007.0629688,1007.4692461,23.4718,25.42709,0.0,0.00482
2015-08-15 04:00:00,23.26122,0.01416,22.41034,4.06172,133.23144,-2.95934,2.78206,1007.0494531,1007.4558164,23.35473,25.40267,0.0,0.00378
2015-08-15 04:10:00,23.31777,0.01411,22.33343,4.16614,132.35826,-3.07855,2.80699,1007.0704688,1007.4767754,23.63046,25.39022,0.0,0.15391
2015-08-15 04:20:00,23.07839,0.01406,22.25827,4.10331,133.30571,-2.986,2.81442,1007.1715625,1007.5782506,23.03686,25.36602,0.0,0.00125
2015-08-15 04:30:00,23.08917,0.01407,22.27689,3.81826,134.29953,-2.73272,2.66671,1007.3135156,1007.7202438,23.46392,25.33938,0.09298,0.75253
2015-08-15 04:40:00,23.0592,0.01409,22.31027,3.68263,127.661,-2.91531,2.25004,1007.4223438,1007.8291521,23.35867,25.32424,0.21974,0.09611
2015-08-15 04:50:00,23.13622,0.01399,22.15655,4.12822,126.44718,-3.32076,2.4525,1007.4742188,1007.8809669,23.35439,25.3099,0.00977,0.13199
2015-08-15 05:00:00,23.10616,0.01393,22.06599,4.57507,131.47423,-3.42789,3.02999,1007.5832031,1007.9900513,23.29336,25.29232,0.00037,0.18768
2015-08-15 05:10:00,23.07632,0.01389,22.00879,4.75703,136.19093,-3.29309,3.43292,1007.8021094,1008.2090968,23.27599,25.27474,0.0,0.04442
2015-08-15 05:20:00,23.0472,0.01387,21.98002,4.3909,137.30148,-2.97765,3.22701,1007.904375,1008.3114487,23.26833,25.25674,0.00159,0.51157
2015-08-15 05:30:00,23.05816,0.0139,22.03052,3.75119,136.2916,-2.59203,2.7116,1008.0871875,1008.4943125,23.33965,25.24111,0.0281,0.78012
