Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-15 00:10:00,24.08773,0.01455,22.99309,2.02746,224.16396,1.41256,1.4544,1006.156875,1006.5616535,23.79165,26.72811,0.0,0.0
2015-08-15 00:20:00,24.07836,0.01457,23.02405,1.80659,209.16536,0.88041,1.57754,1006.1603125,1006.5651002,23.74758,26.67947,0.0,0.0
2015-08-15 00:30:00,24.04647,0.01451,22.93158,1.68922,189.60049,0.28172,1.66556,1006.1685156,1006.5733648,23.68182,26.63494,0.0,0.0
2015-08-15 00:40:00,23.98406,0.0143,22.60685,1.6481,166.17642,-0.39379,1.60037,1006.1547656,1006.5597457,23.60125,26.59164,0.0,0.0
2015-08-15 00:50:00,23.93435,0.01398,22.1121,1.66519,142.63287,-1.01063,1.32343,1006.1559375,1006.5610643,23.53887,26.54833,0.0,0.0
2015-08-15 01:00:00,23.86758,0.01379,21.81695,1.67931,127.0752,-1.33983,1.01239,1006.1032812,1006.5085244,23.47292,26.50503,0.0,0.0
2015-08-15 01:10:00,23.80773,0.01385,21.909,1.62549,129.87816,-1.24742,1.04219,1006.0659375,1006.4712327,23.42825,26.46212,0.0,0.0
2015-08-15 01:20:00,23.81814,0.01396,22.07957,1.5987,141.5968,-0.9931,1.25284,1006.0836719,1006.488933,23.46063,26.42294,0.0,0.0
2015-08-15 01:30:00,23.8269,0.01373,21.72313,1.99656,141.58339,-1.24061,1.56433,1006.0591406,1006.4644363,23.50738,26.38009,0.0,0.0
2015-08-15 01:40:00,23.7499,0.0134,21.21078,2.39373,143.30354,-1.43043,1.91932,1006.0003906,1006.4058487,23.44305,26.33679,0.0,0.0
2015-08-15 01:50:00,23.66943,0.01342,21.23993,2.40495,146.75897,-1.3183,2.01143,1005.9130469,1006.3185748,23.3677,26.29019,0.0,0.0
2015-08-15 02:00:00,23.61627,0.01357,21.47074,2.27361,148.93325,-1.17327,1.9475,1005.8415625,1006.2470975,23.3045,26.24685,0.0,0.0
2015-08-15 02:10:00,23.56082,0.01368,21.64163,2.06866,146.92705,-1.12888,1.73349,1005.8694531,1006.2750481,23.22741,26.20355,0.0,0.0
2015-08-15 02:20:00,23.49703,0.01378,21.79583,1.79165,146.53529,-0.98796,1.49464,1005.843125,1006.2487721,23.14526,26.1639,0.0,0.0
2015-08-15 02:30:00,23.47701,0.01389,21.96789,1.67122,140.51292,-1.06273,1.28979,1005.9285938,1006.3342757,23.11718,26.12722,0.0,0.0
2015-08-15 02:40:00,23.53805,0.01396,22.07586,1.85234,134.10003,-1.33021,1.28906,1005.9148438,1006.3204195,23.24197,26.09213,0.0,0.0
2015-08-15 02:50:00,23.47259,0.01378,21.79812,2.24998,127.92786,-1.77475,1.38299,1005.9486719,1006.354395,23.24789,26.0556,0.0,0.0
2015-08-15 03:00:00,23.29943,0.01354,21.42926,2.78422,126.80308,-2.22932,1.66793,1006.0753906,1006.4814608,23.14684,26.01434,0.0,0.0
2015-08-15 03:10:00,23.15099,0.01365,21.60012,3.25564,131.36142,-2.44354,2.15135,1006.099375,1006.5056314,23.07025,25.96694,0.0,0.0
2015-08-15 03:20:00,23.09918,0.01376,21.7707,3.34004,134.8564,-2.36767,2.35584,1006.1123438,1006.5186494,23.01882,25.91952,0.0,0.0
2015-08-15 03:30:00,23.0487,0.01379,21.81642,3.33653,133.65671,-2.41394,2.30332,1006.0791406,1006.4854947,22.97973,25.87209,0.0,0.0
2015-08-15 03:40:00,23.03115,0.01383,21.8787,3.46226,135.65532,-2.42003,2.47603,1006.0966406,1006.503016,22.95892,25.82589,0.0,0.0
2015-08-15 03:50:00,22.97558,0.01392,22.01713,3.64979,135.35422,-2.56479,2.5967,1006.0584375,1006.4648516,22.9266,25.78259,0.0,0.0
2015-08-15 04:00:00,23.17999,0.01402,22.17196,3.80291,135.43137,-2.66874,2.70923,1006.0651562,1006.4712681,23.56393,25.76559,0.0,0.01832
2015-08-15 04:10:00,23.14501,0.01407,22.25193,3.72481,135.73933,-2.59964,2.66761,1006.1848438,1006.5910396,23.51608,25.74322,0.0,0.02454
2015-08-15 04:20:00,22.97378,0.01409,22.28438,3.49895,136.455,-2.41051,2.53616,1006.2536719,1006.6601256,22.92483,25.72869,0.0,0.02404
2015-08-15 04:30:00,23.12798,0.0141,22.30136,3.13397,139.92646,-2.01756,2.39817,1006.3217188,1006.7279859,23.56951,25.70431,0.0,0.08929
2015-08-15 04:40:00,23.26132,0.01412,22.33721,2.73229,140.5829,-1.7349,2.11081,1006.5433594,1006.9495282,23.64034,25.70168,0.0,0.03639
2015-08-15 04:50:00,23.06899,0.01412,22.33954,2.58654,141.89758,-1.59608,2.03537,1006.6483594,1007.0548344,22.88964,25.6954,0.0,0.0
2015-08-15 05:00:00,22.93694,0.01414,22.37478,2.36394,137.28664,-1.60353,1.73692,1006.8420312,1007.2487608,22.81637,25.65621,0.0,0.0
