Datetime,Station Pressure [hPa],Sea Level Pressure [hPa],Precipitation [mm],Temperature [°C],Relative Humidity [%],Vapor Pressure [hPa],Mixing Ratio [kg/kg],Wind Speed [m/s],Wind Direction [°],Gust Speed [m/s],Gust Direction [°],Sunshine Duration [minutes]
2015-08-15 00:10:00,1006.4,1008.1,0.0,25.7,85,28.1,0.0178,1.7,135.0,2.1,135.0,0.0
2015-08-15 00:20:00,1006.5,1008.2,0.0,25.4,85,27.6,0.0175,2.0,135.0,3.4,135.0,0.0
2015-08-15 00:30:00,1006.4,1008.1,0.0,25.4,85,27.6,0.0175,1.6,135.0,2.4,135.0,0.0
2015-08-15 00:40:00,1006.5,1008.2,0.0,25.5,85,27.7,0.0176,1.5,157.5,2.2,157.5,0.0
2015-08-15 00:50:00,1006.4,1008.1,0.0,25.5,85,27.7,0.0176,1.7,157.5,2.3,180.0,0.0
2015-08-15 01:00:00,1006.4,1008.1,0.0,25.4,85,27.6,0.0175,1.3,157.5,2.5,157.5,0.0
2015-08-15 01:10:00,1006.5,1008.2,0.0,25.3,86,27.7,0.0176,1.1,135.0,1.8,135.0,0.0
2015-08-15 01:20:00,1006.5,1008.2,0.0,25.2,86,27.6,0.0175,1.1,157.5,1.9,135.0,0.0
2015-08-15 01:30:00,1006.5,1008.2,0.0,25.1,87,27.7,0.0176,0.7,157.5,1.3,157.5,0.0
2015-08-15 01:40:00,1006.5,1008.2,0.0,25.2,87,27.9,0.0177,0.9,135.0,1.6,112.5,0.0
2015-08-15 01:50:00,1006.5,1008.2,0.0,25.2,87,27.9,0.0177,0.9,135.0,1.6,135.0,0.0
2015-08-15 02:00:00,1006.5,1008.2,0.0,25.2,86,27.6,0.0175,0.9,135.0,1.7,135.0,0.0
2015-08-15 02:10:00,1006.4,1008.1,0.0,25.1,85,27.1,0.0172,0.9,135.0,2.0,135.0,0.0
2015-08-15 02:20:00,1006.5,1008.2,0.0,24.9,86,27.1,0.0172,0.6,157.5,1.5,135.0,0.0
2015-08-15 02:30:00,1006.5,1008.2,0.0,24.8,86,26.9,0.0171,1.8,135.0,3.1,135.0,0.0
2015-08-15 02:40:00,1006.5,1008.2,0.0,24.8,86,26.9,0.0171,1.4,157.5,2.1,157.5,0.0
