Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layler Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-15 00:10:00,24.28439,0.01501,23.68381,1.3027,144.29723,-0.76023,1.05787,1005.3467969,1007.5196407,24.11871,25.13107,0.0,0.0
2015-08-15 00:20:00,24.21407,0.01495,23.59074,1.22853,156.3529,-0.49276,1.12537,1005.3205469,1007.4939273,24.01803,25.04418,0.0,0.0
2015-08-15 00:30:00,24.14913,0.01491,23.52971,1.17488,166.14207,-0.2814,1.14068,1005.3466406,1007.5206053,23.92919,24.9573,0.0,0.0
2015-08-15 00:40:00,24.08587,0.01487,23.46932,1.31458,167.42703,-0.28616,1.28306,1005.4007031,1007.5753005,23.85259,24.87341,0.0,0.0
2015-08-15 00:50:00,24.00683,0.01481,23.37811,1.54867,163.59552,-0.43737,1.48562,1005.4559375,1007.6313125,23.78243,24.7922,0.0,0.0
2015-08-15 01:00:00,23.91744,0.01473,23.25562,1.76445,158.68886,-0.64126,1.6438,1005.4940625,1007.6702807,23.7022,24.71102,0.0,0.0
2015-08-15 01:10:00,23.81573,0.01463,23.10018,1.81797,160.97345,-0.59267,1.71865,1005.4424219,1007.6194062,23.6174,24.63427,0.0,0.0
2015-08-15 01:20:00,23.69091,0.01456,22.99234,1.80024,156.89935,-0.70632,1.65589,1005.4494531,1007.6274613,23.53182,24.55844,0.0,0.0
2015-08-15 01:30:00,23.61794,0.01462,23.08443,1.92175,143.17406,-1.15187,1.53828,1005.4284375,1007.6068572,23.45721,24.48257,0.0,0.0
2015-08-15 01:40:00,23.63796,0.01477,23.31444,2.05875,142.16536,-1.26281,1.62597,1005.3703125,1007.5482614,23.40627,24.4078,0.0,0.0
2015-08-15 01:50:00,23.67489,0.01486,23.45309,2.17645,147.78669,-1.16021,1.84143,1005.3660938,1007.5436437,23.37127,24.33764,0.0,0.0
2015-08-15 02:00:00,23.68578,0.01489,23.50014,2.39293,152.14192,-1.11818,2.11561,1005.4005469,1007.5780519,23.33462,24.27297,0.0,0.0
2015-08-15 02:10:00,23.62438,0.0149,23.51457,2.43912,156.7198,-0.96401,2.24054,1005.3585156,1007.5363674,23.26986,24.20852,0.0,0.0
2015-08-15 02:20:00,23.54815,0.01487,23.46829,2.29671,156.74203,-0.90691,2.11007,1005.3571875,1007.5356361,23.19354,24.1441,0.0,0.0
2015-08-15 02:30:00,23.46398,0.01476,23.30045,2.0315,157.69509,-0.77102,1.87949,1005.4323438,1007.6117192,23.10299,24.07964,0.0,0.0
2015-08-15 02:40:00,23.38662,0.01464,23.11518,1.80654,156.19162,-0.72926,1.65281,1005.4241406,1007.6042258,23.02316,24.01519,0.0,0.0
2015-08-15 02:50:00,23.33242,0.01456,22.99182,1.90557,150.47322,-0.93912,1.65808,1005.4269531,1007.6075489,22.97976,23.95312,0.0,0.0
2015-08-15 03:00:00,23.26846,0.01454,22.96303,2.13009,145.78483,-1.19776,1.76144,1005.5177344,1007.6990246,22.93023,23.8944,0.0,0.0
2015-08-15 03:10:00,23.15838,0.01461,23.07194,2.22365,145.13059,-1.27128,1.82441,1005.5566406,1007.738734,22.86105,23.83566,0.0,0.0
2015-08-15 03:20:00,23.08477,0.0147,23.21221,2.22707,143.42006,-1.32721,1.78839,1005.6183594,1007.8010107,22.80251,23.77691,0.0,0.0
2015-08-15 03:30:00,23.05474,0.01479,23.3532,2.20035,143.65706,-1.30397,1.77235,1005.7120312,1007.8949885,22.75521,23.71813,0.0,0.0
2015-08-15 03:40:00,22.97903,0.01496,23.61533,2.21266,140.10964,-1.41902,1.69771,1005.7125,1007.8957924,22.70593,23.66461,0.0,0.0
