Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layler Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-15 00:10:00,24.34991,0.014,22.1029,1.31056,216.09027,0.772,1.05905,1004.3317969,1006.5032956,24.97469,26.87872,0.0,0.0
2015-08-15 00:20:00,24.32836,0.01409,22.24202,1.2087,230.93028,0.93841,0.7618,1004.3398438,1006.511399,24.94082,26.8099,0.0,0.0
2015-08-15 00:30:00,24.31365,0.01416,22.34938,1.02779,230.72938,0.79568,0.65057,1004.309375,1006.4808798,24.90841,26.74471,0.0,0.0
2015-08-15 00:40:00,24.29586,0.01416,22.35047,0.95428,215.46731,0.55371,0.77721,1004.3580469,1006.529787,24.86508,26.68472,0.0,0.0
2015-08-15 00:50:00,24.26623,0.01411,22.27411,1.10588,197.47698,0.33212,1.05483,1004.3946094,1006.5667109,24.80285,26.62521,0.0,0.0
2015-08-15 01:00:00,24.22582,0.01406,22.19585,1.10246,188.51508,0.16324,1.0903,1004.3460156,1006.5183733,24.74078,26.5657,0.0,0.0
2015-08-15 01:10:00,24.18521,0.01401,22.11861,1.15601,195.89199,0.31655,1.11183,1004.3441406,1006.516857,24.67877,26.50622,0.0,0.0
2015-08-15 01:20:00,24.178,0.01389,21.93302,1.45249,202.95858,0.56657,1.33744,1004.3313281,1006.5042274,24.64056,26.4468,0.0,0.0
2015-08-15 01:30:00,24.19586,0.01369,21.62446,1.68245,192.88648,0.37522,1.64008,1004.3521875,1006.5252645,24.60748,26.39315,0.0,0.0
2015-08-15 01:40:00,24.20468,0.0135,21.33012,1.92177,176.68544,-0.11111,1.91855,1004.324375,1006.4975773,24.56786,26.33969,0.0,0.0
2015-08-15 01:50:00,24.07125,0.01325,20.94554,2.50409,151.1914,-1.20668,2.19417,1004.4292188,1006.6039541,24.46243,26.28597,0.0,0.0
2015-08-15 02:00:00,23.4963,0.0136,21.48854,3.66458,137.23292,-2.48832,2.69024,1004.5026562,1006.6813085,24.17809,26.21667,0.0,0.0
2015-08-15 02:10:00,23.38763,0.01372,21.67433,4.50009,141.41079,-2.80685,3.51744,1004.5152344,1006.6945549,24.07314,26.13436,0.0,0.0
2015-08-15 02:20:00,23.24822,0.01418,22.38512,4.66066,144.16723,-2.72845,3.77854,1004.5289844,1006.7087536,23.98385,26.05206,0.0,0.0
2015-08-15 02:30:00,23.15109,0.01423,22.46034,4.32904,141.05652,-2.72103,3.36698,1004.4419531,1006.6221828,23.9067,25.97009,0.0,0.0
2015-08-15 02:40:00,23.03695,0.01428,22.53777,4.2283,138.38611,-2.80804,3.16123,1004.4546875,1006.6357199,23.81344,25.89126,0.0,0.0
2015-08-15 02:50:00,22.98379,0.01429,22.55464,4.42092,137.21783,-3.00275,3.2447,1004.5189062,1006.7004568,23.73864,25.81194,0.0,0.0
2015-08-15 03:00:00,22.99636,0.01417,22.37158,4.65518,136.93,-3.17898,3.4007,1004.6139844,1006.7958073,23.70315,25.73577,0.0,0.0
2015-08-15 03:10:00,23.06698,0.01403,22.15445,4.38216,139.56608,-2.84214,3.3355,1004.5698438,1006.751235,23.70138,25.66723,0.0,0.0
2015-08-15 03:20:00,23.03454,0.01404,22.16863,4.21915,141.89956,-2.60339,3.32018,1004.5128906,1006.6943841,23.65359,25.60201,0.0,0.0
2015-08-15 03:30:00,22.96472,0.01415,22.3396,4.06739,141.35616,-2.53999,3.1768,1004.5642969,1006.7462717,23.59191,25.53945,0.0,0.0
2015-08-15 03:40:00,22.90066,0.01418,22.38675,3.9302,141.23434,-2.46084,3.06443,1004.6021875,1006.7846776,23.5263,25.47686,0.0,0.0
2015-08-15 03:50:00,22.92001,0.01415,22.34028,3.93646,142.57021,-2.39254,3.12594,1004.5950781,1006.7774496,23.4996,25.41735,0.0,0.0
2015-08-15 04:00:00,22.92071,0.0141,22.26276,3.91956,143.07528,-2.35474,3.1334,1004.5801562,1006.7625562,23.47192,25.36129,0.0,0.0
2015-08-15 04:10:00,22.90255,0.0141,22.26316,3.80234,143.95653,-2.2373,3.07446,1004.5982812,1006.7808546,23.4501,25.30749,0.0,0.0
2015-08-15 04:20:00,22.85061,0.01412,22.29632,3.73189,145.60181,-2.1083,3.0793,1004.7008594,1006.8840127,23.41525,25.25936,0.0,0.0
2015-08-15 04:30:00,22.81536,0.01411,22.28363,3.73261,144.75252,-2.15413,3.0483,1004.8249219,1007.0086183,23.37792,25.21124,0.0,0.0
2015-08-15 04:40:00,22.76339,0.01412,22.30185,3.8173,141.64843,-2.36858,2.9936,1004.9504688,1007.1348088,23.32983,25.16314,0.0,0.0
2015-08-15 04:50:00,22.74841,0.01412,22.30528,3.63161,143.07896,-2.18156,2.90334,1005.1050781,1007.2898649,23.30514,25.11501,0.0,0.0
2015-08-15 05:00:00,22.75161,0.01406,22.21539,3.58425,146.21717,-1.99301,2.97905,1005.2314844,1007.4166017,23.28378,25.07205,0.0,0.0
2015-08-15 05:10:00,22.70709,0.01406,22.21811,3.69583,142.6143,-2.24402,2.93658,1005.3546094,1007.5403235,23.24572,25.02957,0.0,0.0
2015-08-15 05:20:00,22.65801,0.01404,22.19041,3.87304,141.32497,-2.42028,3.0237,1005.5,1007.6864198,23.18783,24.98715,0.0,0.0
2015-08-15 05:30:00,22.60989,0.01403,22.17773,4.018,143.16678,-2.40874,3.21594,1005.6258594,1007.8129223,23.13946,24.94323,0.0,0.0
2015-08-15 05:40:00,22.51251,0.01404,22.19456,4.30968,140.69628,-2.72989,3.33483,1005.688125,1007.8760312,23.07043,24.89547,0.0,0.0
2015-08-15 05:50:00,22.42248,0.01406,22.22797,4.56326,137.44509,-3.08612,3.36143,1005.8011719,1007.9899648,23.04202,24.84823,0.0,0.0
2015-08-15 06:00:00,22.37133,0.01407,22.24327,4.76794,137.36903,-3.2292,3.50793,1005.7939062,1007.9830493,23.16924,24.81185,0.0,0.0
2015-08-15 06:10:00,22.4298,0.01405,22.21161,4.8839,135.78716,-3.40567,3.50055,1005.7600781,1007.9487406,23.41705,24.79763,0.0,0.0
2015-08-15 06:20:00,22.58865,0.01404,22.19621,4.62483,136.67366,-3.17334,3.36437,1005.7625781,1007.9500824,23.75958,24.81365,0.0,0.0
2015-08-15 06:30:00,22.76199,0.01403,22.18027,4.36142,138.26817,-2.90316,3.25479,1005.7409375,1007.9271251,24.1463,24.86163,0.0,0.0
2015-08-15 06:40:00,22.91784,0.01406,22.22728,4.37446,138.27866,-2.91124,3.26506,1005.769375,1007.9544326,24.52654,24.93917,0.0,0.00409
2015-08-15 06:50:00,23.11761,0.01407,22.24428,4.58135,137.39648,-3.10121,3.37213,1005.8386719,1008.0223918,24.92455,25.02438,0.0,0.0
2015-08-15 07:00:00,23.41436,0.0141,22.29007,4.86768,136.38389,-3.35784,3.52409,1005.8121875,1007.9936228,25.41152,25.16015,0.0,0.0
2015-08-15 07:10:00,23.67544,0.01416,22.38084,5.00557,134.05441,-3.5974,3.48058,1005.7233594,1007.9026022,25.89697,25.32571,0.0,0.0
2015-08-15 07:20:00,23.92559,0.01418,22.41093,5.09388,132.50103,-3.75554,3.44144,1005.6864062,1007.8637056,26.39477,25.5166,0.0,0.0
2015-08-15 07:30:00,24.18719,0.01422,22.47282,5.16268,133.25607,-3.75997,3.53778,1005.6900781,1007.8654151,26.9197,25.73113,0.0,0.0
2015-08-15 07:40:00,24.51232,0.01434,22.65966,5.04609,134.28927,-3.61211,3.52359,1005.755,1007.9279407,27.50024,25.97265,0.0,0.0
2015-08-15 07:50:00,24.8493,0.01447,22.8621,4.85896,135.21748,-3.42274,3.44882,1005.8291406,1007.9996106,28.10192,26.2394,0.0,0.0
2015-08-15 08:00:00,25.16216,0.01456,22.99952,4.76968,137.01973,-3.25171,3.48944,1005.7621875,1007.9301163,28.67098,26.52923,0.0,0.0
2015-08-15 08:10:00,25.42275,0.01463,23.10574,4.85694,133.42174,-3.52766,3.33848,1005.6829688,1007.848741,29.22482,26.83584,0.0,0.0
2015-08-15 08:20:00,25.80084,0.01476,23.30896,4.9165,130.91021,-3.71558,3.21969,1005.7975781,1007.9606845,29.84445,27.16024,0.0,0.0
2015-08-15 08:30:00,26.12466,0.01488,23.49719,4.68642,131.16616,-3.52795,3.08481,1005.9322656,1008.0931614,30.53021,27.50549,0.0,0.0
2015-08-15 08:40:00,26.12628,0.01496,23.62036,3.76973,134.00187,-2.71163,2.61876,1005.9240625,1008.0848243,28.91104,27.81799,0.0,0.09456
2015-08-15 08:50:00,26.5407,0.015,23.68457,2.45679,140.69426,-1.55628,1.90101,1006.0317188,1008.1896681,30.10888,27.98422,0.0,0.04969
2015-08-15 09:00:00,27.29098,0.01499,23.66882,1.29649,160.92546,-0.42369,1.2253,1006.0173438,1008.1698806,32.70928,28.30496,0.0,7e-05
2015-08-15 09:10:00,27.90215,0.015,23.68516,1.41123,239.31339,1.21362,0.72021,1006.0560156,1008.2042473,33.36129,28.78579,0.0,0.00028
2015-08-15 09:20:00,28.08636,0.01492,23.56258,2.79506,287.55954,2.66482,-0.84326,1006.0892969,1008.2363885,33.79275,29.25372,0.0,0.00156
2015-08-15 09:30:00,27.49789,0.01494,23.59153,2.76194,286.03766,2.65445,-0.76304,1006.0088281,1008.1599287,29.84454,29.48336,0.0,0.18553
2015-08-15 09:40:00,28.51309,0.01452,22.94293,2.56963,302.66118,2.16331,-1.38675,1005.9855469,1008.1298959,34.79708,29.87634,0.0,0.00112
2015-08-15 09:50:00,28.24978,0.01457,23.01773,2.76688,298.08139,2.44116,-1.30244,1005.8810938,1008.0270304,32.55612,30.30386,0.0,0.08107
2015-08-15 10:00:00,28.52737,0.01418,22.41561,3.91445,275.75407,3.89472,-0.39246,1005.8929688,1008.0374602,35.53082,30.66924,0.0,0.0
2015-08-15 10:10:00,27.45062,0.01497,23.63287,2.79638,298.51822,2.45708,-1.3351,1005.7995312,1007.9504838,30.13357,30.73351,0.00174,0.77151
2015-08-15 10:20:00,27.89535,0.01512,23.86451,3.27026,314.77884,2.32133,-2.30348,1005.8185938,1007.9662112,31.44885,30.64352,0.00925,0.04815
2015-08-15 10:30:00,27.65679,0.01546,24.38527,4.36326,292.01723,4.04505,-1.63572,1005.7005469,1007.849175,32.54815,31.00518,0.05792,0.10952
