Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-23 00:10:00,25.09387,0.01734,27.24881,1.69523,242.08936,1.49804,0.79353,1004.9136719,1005.3159074,24.83944,26.94198,0.0,0.0
2015-08-23 00:20:00,25.01757,0.01726,27.12475,1.76603,243.24915,1.57702,0.79491,1004.849375,1005.2517071,24.76699,26.89324,0.0,0.0
2015-08-23 00:30:00,24.90893,0.01711,26.89459,1.75991,244.80948,1.59253,0.74907,1004.8215625,1005.2240666,24.66992,26.84265,0.0,0.0
2015-08-23 00:40:00,24.80584,0.01695,26.65054,1.68458,248.62357,1.56869,0.61402,1004.8510156,1005.2537097,24.57479,26.79205,0.0,0.0
2015-08-23 00:50:00,24.73016,0.01688,26.54326,1.64365,247.00808,1.51308,0.64201,1004.8461719,1005.2489835,24.48974,26.74246,0.0,0.0
2015-08-23 01:00:00,24.67254,0.01688,26.54273,1.54462,237.49379,1.30263,0.83006,1004.8263281,1005.2292096,24.42037,26.69512,0.0,0.0
2015-08-23 01:10:00,24.62991,0.0169,26.57372,1.56422,231.10104,1.21736,0.98225,1004.8403125,1005.2432525,24.37307,26.64767,0.0,0.0
2015-08-23 01:20:00,24.55776,0.0169,26.57446,1.52068,232.94148,1.21354,0.91641,1004.8684375,1005.2714864,24.27755,26.60027,0.0,0.0
2015-08-23 01:30:00,24.48013,0.01691,26.59159,1.31879,240.39349,1.14661,0.65153,1004.9375,1005.3406794,24.13757,26.55563,0.0,0.0
2015-08-23 01:40:00,24.52502,0.0171,26.88389,1.16551,255.73672,1.12958,0.28715,1004.9939062,1005.3970011,24.03985,26.51232,0.0,0.0
2015-08-23 01:50:00,24.59139,0.01739,27.3295,0.96806,280.31422,0.95242,-0.17333,1005.0705469,1005.4735121,23.94167,26.47021,0.0,0.0
2015-08-23 02:00:00,24.53228,0.01763,27.69765,0.96579,312.04463,0.71722,-0.6468,1005.1202344,1005.5232412,23.96157,26.43099,0.0,0.0
2015-08-23 02:10:00,24.44692,0.01772,27.83517,1.0803,331.31831,0.51848,-0.94775,1005.1217188,1005.5248199,23.95641,26.39181,0.0,0.0
2015-08-23 02:20:00,24.36218,0.01769,27.79006,1.14935,343.71996,0.3222,-1.10327,1005.1476562,1005.5508898,23.93295,26.35262,0.0,0.0
2015-08-23 02:30:00,24.28076,0.0176,27.65302,1.18961,353.23352,0.14016,-1.18133,1005.1640625,1005.567435,23.90225,26.31344,0.0,0.0
2015-08-23 02:40:00,24.2228,0.01753,27.54753,1.2336,355.99148,0.08623,-1.23058,1005.2182812,1005.6217712,23.89916,26.27422,0.0,0.0
2015-08-23 02:50:00,24.18099,0.0175,27.50293,1.29531,357.54256,0.05554,-1.29412,1005.2639062,1005.6674786,23.85555,26.23504,0.0,0.0
2015-08-23 03:00:00,24.15579,0.01748,27.47336,1.21754,358.20772,0.03808,-1.21694,1005.3007031,1005.7043293,23.74795,26.19583,0.0,0.0
2015-08-23 03:10:00,24.14944,0.0175,27.50523,1.15927,355.34097,0.09416,-1.15544,1005.348125,1005.751774,23.68533,26.15664,0.0,0.0
2015-08-23 03:20:00,24.12365,0.01748,27.47548,1.11674,355.12804,0.09484,-1.1127,1005.3782031,1005.7819041,23.62557,26.11746,0.0,0.0
2015-08-23 03:30:00,24.08401,0.01738,27.32245,1.09823,358.35996,0.03143,-1.09778,1005.3739844,1005.7777619,23.54196,26.0801,0.0,0.0
2015-08-23 03:40:00,24.0649,0.01724,27.10985,0.95683,5.38173,-0.08974,-0.95261,1005.4314844,1005.8353451,23.41714,26.04501,0.0,0.0
2015-08-23 03:50:00,24.01541,0.01706,26.83581,0.79688,17.99888,-0.24623,-0.75788,1005.48625,1005.8902439,23.35818,26.00994,0.0,0.0
2015-08-23 04:00:00,23.97051,0.01693,26.63779,0.69872,33.33901,-0.38401,-0.58373,1005.5261719,1005.9302746,23.30105,25.97485,0.0,0.0
2015-08-23 04:10:00,23.91628,0.0168,26.44039,0.62461,59.20563,-0.53655,-0.31977,1005.5930469,1005.997282,23.24835,25.93975,0.0,0.0
2015-08-23 04:20:00,23.91946,0.01677,26.39582,0.56555,95.04237,-0.56336,0.04971,1005.6465625,1006.0508221,23.18026,25.90469,0.0,0.0
2015-08-23 04:30:00,23.89938,0.01678,26.41177,0.36344,150.21097,-0.18056,0.31541,1005.6704688,1006.0747629,23.1235,25.86959,0.0,0.0
2015-08-23 04:40:00,23.84829,0.01679,26.42842,0.58008,210.4845,0.29428,0.49989,1005.7207812,1006.1251627,23.12682,25.8345,0.0,0.0
2015-08-23 04:50:00,23.84579,0.01679,26.43134,0.80592,233.82409,0.65055,0.47571,1005.8320312,1006.2364608,23.108,25.7994,0.0,0.0
2015-08-23 05:00:00,23.86901,0.01677,26.4046,0.93455,237.22499,0.78577,0.50591,1005.9810938,1006.3855566,23.10186,25.76434,0.0,0.0
2015-08-23 05:10:00,24.25414,0.01691,26.6223,1.10594,235.40809,0.91043,0.62787,1006.098125,1006.5020768,24.39395,25.74532,0.0,0.01076
2015-08-23 05:20:00,24.04971,0.01678,26.42548,1.04442,232.53969,0.82903,0.63523,1006.1923438,1006.5966431,23.1293,25.75277,0.0,0.0
