Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-23 01:00:00,0.0,1.44772,1.46879,0.01245,0.00418,-0.0377
2015-08-23 02:00:00,0.0,1.47716,1.46586,0.02367,0.00636,-0.01873
2015-08-23 03:00:00,0.0,1.44316,1.45663,0.00554,0.00173,-0.02075
2015-08-23 04:00:00,0.0,1.43661,1.4532,0.00256,0.0011,-0.02025
2015-08-23 05:00:00,0.0,1.42787,1.44789,-0.00037,-0.00321,-0.01644
2015-08-23 06:00:00,0.00242,1.4188,1.44065,-0.0006,-0.00208,-0.01676
2015-08-23 07:00:00,0.29146,1.42909,1.4721,0.06993,0.02369,0.15482
2015-08-23 08:00:00,0.93429,1.41275,1.52917,0.3086,0.08038,0.42889
2015-08-23 09:00:00,1.56515,1.40676,1.58708,0.62436,0.14265,0.61782
2015-08-23 10:00:00,2.11153,1.41639,1.64281,0.96207,0.19015,0.73289
2015-08-23 11:00:00,2.52957,1.42262,1.68612,1.28872,0.22236,0.75499
2015-08-23 12:00:00,2.78584,1.41832,1.7118,1.55534,0.23528,0.70175
2015-08-23 13:00:00,2.85638,1.41882,1.72739,1.67352,0.23781,0.63648
2015-08-23 14:00:00,2.73274,1.42559,1.72235,1.70345,0.22378,0.50876
2015-08-23 15:00:00,2.43234,1.4177,1.70617,1.56136,0.20248,0.38003
2015-08-23 16:00:00,1.9746,1.4116,1.67701,1.30181,0.16971,0.23767
2015-08-23 17:00:00,1.39688,1.41106,1.63697,0.96334,0.12811,0.07953
2015-08-23 18:00:00,0.75506,1.41409,1.5854,0.58748,0.08904,-0.09277
2015-08-23 19:00:00,0.1623,1.42193,1.53002,0.26576,0.03475,-0.2463
2015-08-23 20:00:00,0.0,1.41737,1.50397,0.09505,0.01355,-0.19521
2015-08-23 21:00:00,0.0,1.41164,1.49114,0.03486,0.01242,-0.12677
2015-08-23 22:00:00,0.0,1.41454,1.47955,0.02493,0.00945,-0.09939
2015-08-23 23:00:00,0.0,1.41523,1.46812,-0.00156,0.00165,-0.05298
2015-08-24 00:00:00,0.0,1.41929,1.46184,-0.00226,0.00036,-0.04066
