Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-23 00:10:00,25.26946,0.01812,28.44493,1.33906,225.63634,0.95732,0.93629,1005.093125,1005.4950063,25.18252,26.62594,0.0,0.0
2015-08-23 00:20:00,25.18032,0.01799,28.24639,0.9037,219.50515,0.57489,0.69727,1005.08625,1005.4882802,25.00604,26.58431,0.0,0.0
2015-08-23 00:30:00,25.24111,0.01799,28.24659,0.66201,196.82442,0.19161,0.63367,1005.0932812,1005.4952323,25.21975,26.54867,0.0,0.00134
2015-08-23 00:40:00,25.36361,0.01793,28.1552,0.73387,175.7193,-0.05478,0.73182,1005.0996094,1005.5014126,25.53289,26.52102,0.0,0.00419
2015-08-23 00:50:00,25.31582,0.01784,28.01763,0.80335,159.92525,-0.27575,0.75454,1005.0928125,1005.4946991,25.29611,26.49777,0.0,0.00104
2015-08-23 01:00:00,25.08318,0.01761,27.66742,0.89722,150.96574,-0.43545,0.78447,1005.1316406,1005.5339122,24.89614,26.46264,0.0,0.0
2015-08-23 01:10:00,25.02517,0.0174,27.34775,0.99986,155.30998,-0.41765,0.90845,1005.1789062,1005.581326,24.8406,26.4252,0.0,0.0
2015-08-23 01:20:00,24.99764,0.01721,27.05597,0.99437,164.77748,-0.26109,0.95948,1005.1346094,1005.5370948,24.77178,26.38796,0.0,0.0
2015-08-23 01:30:00,25.00686,0.01714,26.94804,1.00061,165.20749,-0.25548,0.96745,1005.1035938,1005.5060713,24.71359,26.35079,0.0,0.0
2015-08-23 01:40:00,24.98113,0.01713,26.93207,1.02129,152.56359,-0.47057,0.90642,1005.0785938,1005.4810985,24.66906,26.31356,0.0,0.0
