Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-23 00:10:00,26.26928,0.01548,24.34711,1.21681,339.66398,0.42287,-1.14097,1002.8617188,1005.0141953,26.47259,27.93084,0.0,0.0
2015-08-23 00:20:00,26.14526,0.0154,24.22438,1.73021,345.24267,0.44073,-1.67314,1002.8641406,1005.0176195,26.37219,27.84921,0.0,0.0
2015-08-23 00:30:00,26.0534,0.01541,24.24063,1.80759,342.17883,0.55321,-1.72086,1002.9017969,1005.0560055,26.28704,27.76928,0.0,0.0
2015-08-23 00:40:00,25.97643,0.01543,24.27302,1.60117,336.46104,0.63947,-1.46794,1002.9716406,1005.1265281,26.21264,27.69308,0.0,0.0
2015-08-23 00:50:00,25.90438,0.0154,24.22708,1.3727,335.19608,0.57587,-1.24606,1002.9760938,1005.1315497,26.14059,27.61654,0.0,0.0
2015-08-23 01:00:00,25.84203,0.0154,24.22869,1.24803,331.50719,0.59537,-1.09686,1003.0430469,1005.1990967,26.07134,27.54235,0.0,0.0
2015-08-23 01:10:00,25.78893,0.01537,24.18549,1.00269,331.8399,0.47321,-0.88401,1003.1614844,1005.3182114,26.00582,27.47149,0.0,0.0
2015-08-23 01:20:00,25.73928,0.01531,24.09542,0.744,331.49515,0.35506,-0.65381,1003.248125,1005.4054752,25.93206,27.40063,0.0,0.0
2015-08-23 01:30:00,25.68322,0.01529,24.06692,0.65566,319.84571,0.4228,-0.50113,1003.3409375,1005.4989186,25.85482,27.32977,0.0,1e-05
2015-08-23 01:40:00,25.62365,0.01527,24.03939,0.68657,308.9212,0.53416,-0.43134,1003.4741406,1005.6328651,25.78567,27.25976,0.0,5e-05
2015-08-23 01:50:00,25.5584,0.0152,23.93344,0.67997,302.02802,0.57647,-0.36061,1003.5421094,1005.7015437,25.71871,27.1946,0.0,0.0001
2015-08-23 02:00:00,25.49609,0.01513,23.82635,0.69256,294.06715,0.63236,-0.28243,1003.5639062,1005.7239299,25.64922,27.12942,0.0,9e-05
2015-08-23 02:10:00,25.43228,0.01509,23.76594,0.86253,280.92521,0.8469,-0.16347,1003.6101562,1005.7707939,25.57287,27.06423,0.0,5e-05
2015-08-23 02:20:00,25.35049,0.01504,23.68922,1.17697,271.28638,1.17667,-0.02642,1003.6171875,1005.7784984,25.48742,26.99618,0.0,2e-05
2015-08-23 02:30:00,25.26,0.01496,23.56564,1.35499,269.86655,1.35499,0.00316,1003.5944531,1005.7564758,25.40011,26.92526,0.0,0.0
2015-08-23 02:40:00,25.18707,0.01489,23.45804,1.40005,272.07424,1.39914,-0.05067,1003.5985938,1005.7612462,25.32211,26.85436,0.0,0.0
2015-08-23 02:50:00,25.13891,0.01486,23.41321,1.38233,273.69085,1.37946,-0.08898,1003.6552344,1005.8183977,25.25918,26.78552,0.0,0.0
2015-08-23 03:00:00,25.09823,0.01484,23.38396,1.32366,277.86774,1.3112,-0.18119,1003.7211719,1005.8847988,25.2076,26.7203,0.0,0.0
2015-08-23 03:10:00,25.05041,0.01481,23.3388,1.25246,285.18469,1.20873,-0.32806,1003.7647656,1005.9288732,25.15246,26.65508,0.0,0.0
2015-08-23 03:20:00,25.00131,0.01477,23.27797,1.18688,289.53242,1.11858,-0.39682,1003.7965625,1005.9611478,25.09817,26.59466,0.0,0.0
2015-08-23 03:30:00,24.95287,0.01473,23.21659,1.16406,288.88199,1.10142,-0.37671,1003.8053906,1005.9703995,25.04742,26.53512,0.0,0.0
2015-08-23 03:40:00,24.90911,0.01469,23.15541,1.04726,284.63747,1.01327,-0.26464,1003.8232812,1005.9886993,25.00048,26.47564,0.0,0.0
2015-08-23 03:50:00,24.86031,0.01467,23.12576,1.05371,272.86775,1.05239,-0.05272,1003.8732812,1006.0391884,24.94332,26.41754,0.0,0.0
2015-08-23 04:00:00,24.80361,0.01468,23.14243,1.24236,266.95981,1.24061,0.06589,1003.9282812,1006.0947066,24.8767,26.35803,0.0,0.0
2015-08-23 04:10:00,24.74642,0.01471,23.1897,1.35602,268.22472,1.35537,0.04201,1003.9746094,1006.1415118,24.81222,26.29852,0.0,0.0
2015-08-23 04:20:00,24.70587,0.01475,23.25196,1.30156,267.27043,1.30008,0.06198,1004.0032031,1006.1704101,24.76052,26.24276,0.0,0.0
2015-08-23 04:30:00,24.65682,0.01476,23.26889,0.94576,270.05823,0.94576,-0.00096,1004.0694531,1006.2371473,24.71218,26.18893,0.0,0.0
2015-08-23 04:40:00,24.58593,0.0147,23.178,0.64873,287.0172,0.62032,-0.18986,1004.135,1006.3034312,24.65756,26.1351,0.0,0.0
2015-08-23 04:50:00,24.5245,0.0146,23.02519,0.52742,304.23841,0.43602,-0.29674,1004.1897656,1006.3588943,24.59924,26.08129,0.0,0.0
