Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-23 00:10:00,25.34423,0.01608,25.28698,0.62659,331.54559,0.29854,-0.55089,1003.655,1005.8150784,25.40457,26.50106,0.0,7e-05
2015-08-23 00:20:00,25.27114,0.01606,25.25358,0.80786,328.37275,0.42364,-0.68788,1003.5460156,1005.7064151,25.32507,26.42523,0.0,3e-05
2015-08-23 00:30:00,25.20709,0.01601,25.1766,0.91185,322.83304,0.55089,-0.72663,1003.5328906,1005.6937915,25.24996,26.34936,0.0,1e-05
2015-08-23 00:40:00,25.14996,0.01596,25.10157,0.84023,318.85039,0.55289,-0.63269,1003.5983594,1005.7598809,25.18002,26.27761,0.0,1e-05
2015-08-23 00:50:00,25.08911,0.01589,24.99535,0.62322,314.18858,0.44688,-0.4344,1003.6435938,1005.8057458,25.1061,26.20745,0.0,0.0
2015-08-23 01:00:00,25.02749,0.0158,24.85834,0.46805,302.94823,0.39277,-0.25456,1003.6864062,1005.8492155,25.03188,26.13732,0.0,0.0
2015-08-23 01:10:00,24.96539,0.01569,24.68981,0.38923,305.43789,0.31712,-0.22568,1003.6975781,1005.8610064,24.96374,26.07009,0.0,0.0
2015-08-23 01:20:00,24.90624,0.01559,24.53615,0.38768,310.664,0.29407,-0.25262,1003.6917188,1005.8556952,24.89993,26.00567,0.0,0.0
2015-08-23 01:30:00,24.84335,0.01552,24.4289,0.36529,309.07752,0.28358,-0.23027,1003.7016406,1005.8661873,24.83041,25.94091,0.0,0.0
2015-08-23 01:40:00,24.78967,0.01551,24.41381,0.44371,301.28519,0.37919,-0.23042,1003.7126562,1005.8776301,24.76388,25.87609,0.0,0.0
2015-08-23 01:50:00,24.74645,0.01558,24.52007,0.80002,281.35982,0.78435,-0.15758,1003.6620312,1005.8271187,24.71237,25.8113,0.0,0.0
