Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-23 01:00:00,0.0,1.44764,1.4578,0.02479,0.00783,-0.04277
2015-08-23 02:00:00,0.0,1.4349,1.44682,0.05675,0.00911,-0.07777
2015-08-23 03:00:00,0.0,1.43493,1.43966,0.05229,0.0076,-0.06463
2015-08-23 04:00:00,0.0,1.44613,1.4368,0.04142,0.00698,-0.03908
2015-08-23 05:00:00,0.0,1.41297,1.42953,0.03229,0.00618,-0.05503
2015-08-23 06:00:00,0.00265,1.42646,1.42745,0.02351,0.00509,-0.02694
2015-08-23 07:00:00,0.31767,1.41881,1.44568,0.11594,0.01388,0.16099
2015-08-23 08:00:00,0.96497,1.42942,1.50004,0.31972,0.0334,0.54124
2015-08-23 09:00:00,1.61194,1.44616,1.57,0.55688,0.05524,0.87598
2015-08-23 10:00:00,1.98989,1.5371,1.63087,0.79708,0.0762,1.02284
2015-08-23 11:00:00,2.59993,1.47767,1.68564,1.21803,0.09737,1.07656
2015-08-23 12:00:00,2.86088,1.47661,1.71816,1.50759,0.10842,1.00332
2015-08-23 13:00:00,2.9328,1.48081,1.74634,1.59697,0.10932,0.96098
2015-08-23 14:00:00,2.80941,1.49092,1.76197,1.5608,0.10641,0.87116
2015-08-23 15:00:00,2.50053,1.48541,1.74636,1.51952,0.09624,0.62382
2015-08-23 16:00:00,2.02725,1.48361,1.71385,1.3354,0.08233,0.37929
2015-08-23 17:00:00,1.43389,1.47769,1.66731,1.04925,0.06486,0.13018
2015-08-23 18:00:00,0.77414,1.47118,1.60767,0.732,0.0443,-0.13866
2015-08-23 19:00:00,0.16531,1.47044,1.54554,0.41332,0.02531,-0.34842
2015-08-23 20:00:00,0.0,1.46849,1.51066,0.24826,0.0154,-0.30583
2015-08-23 21:00:00,0.0,1.46756,1.49235,0.17663,0.01179,-0.21322
2015-08-23 22:00:00,0.0,1.45239,1.47939,0.11489,0.00922,-0.1511
2015-08-23 23:00:00,0.0,1.44092,1.46922,0.07999,0.00608,-0.11438
2015-08-24 00:00:00,0.0,1.43645,1.46303,0.04382,0.00417,-0.07457
