Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-23 00:10:00,25.79827,0.01685,26.45417,1.55991,250.54966,1.47088,0.51943,1003.2089062,1005.3637383,26.24569,27.74154,0.0,0.0
2015-08-23 00:20:00,25.72497,0.01678,26.34607,1.4567,250.83811,1.37599,0.47815,1003.1672656,1005.3226284,26.17739,27.67135,0.0,0.0
2015-08-23 00:30:00,25.65417,0.01672,26.25365,1.38874,253.84744,1.33392,0.38634,1003.1415625,1005.2974596,26.10906,27.60211,0.0,0.0
2015-08-23 00:40:00,25.57519,0.01668,26.19269,1.41035,262.40261,1.39797,0.18646,1003.149375,1005.3059116,26.03588,27.53726,0.0,0.0
2015-08-23 00:50:00,25.47112,0.01668,26.19176,1.72544,272.05446,1.72433,-0.06186,1003.1140625,1005.2712756,25.93969,27.46731,0.0,0.0
2015-08-23 01:00:00,25.36523,0.01671,26.23863,2.07107,277.46938,2.05349,-0.26923,1003.151875,1005.3098963,25.85424,27.39675,0.0,0.0
2015-08-23 01:10:00,25.26486,0.01676,26.31701,2.09725,279.65772,2.06752,-0.35184,1003.2254688,1005.3843099,25.77859,27.32623,0.0,0.0
2015-08-23 01:20:00,25.16628,0.01683,26.42502,2.05295,280.6501,2.01758,-0.37941,1003.2632812,1005.4228265,25.70159,27.25567,0.0,0.0
2015-08-23 01:30:00,25.08218,0.01692,26.56392,1.99934,282.47005,1.95218,-0.43172,1003.3135156,1005.4736611,25.63317,27.18511,0.0,0.0
2015-08-23 01:40:00,24.99426,0.017,26.6877,2.0175,287.27171,1.92653,-0.599,1003.3710156,1005.5318182,25.55218,27.11501,0.0,0.0
2015-08-23 01:50:00,24.92275,0.01702,26.71885,2.3041,287.53204,2.19707,-0.69408,1003.3932031,1005.5545463,25.47811,27.04479,0.0,0.0
2015-08-23 02:00:00,24.86126,0.017,26.68803,2.3361,286.0514,2.24502,-0.64593,1003.3835156,1005.5453105,25.41171,26.97994,0.0,0.0
2015-08-23 02:10:00,24.80099,0.01702,26.71917,2.45152,284.08822,2.37778,-0.59674,1003.4053125,1005.567566,25.34683,26.91509,0.0,0.0
2015-08-23 02:20:00,24.7423,0.01708,26.81022,2.46454,281.88786,2.41168,-0.50769,1003.3817188,1005.5442695,25.28777,26.85024,0.0,0.0
2015-08-23 02:30:00,24.6748,0.01712,26.86955,2.41339,281.60757,2.36403,-0.48559,1003.315625,1005.4784716,25.22466,26.78539,0.0,0.0
2015-08-23 02:40:00,24.63992,0.01714,26.90045,2.27012,276.49331,2.25555,-0.25672,1003.32875,1005.4918524,25.17895,26.72317,0.0,0.0
2015-08-23 02:50:00,24.58764,0.01712,26.86896,2.19035,271.52335,2.18957,-0.05823,1003.2938281,1005.4572616,25.11852,26.66403,0.0,0.0
2015-08-23 03:00:00,24.53683,0.01704,26.74725,2.05775,264.49914,2.04828,0.19726,1003.3122656,1005.4762131,25.06475,26.60485,0.0,0.0
2015-08-23 03:10:00,24.49514,0.0169,26.5323,1.8939,258.22841,1.85407,0.38638,1003.2742188,1005.4385708,25.00726,26.54571,0.0,0.0
2015-08-23 03:20:00,24.46957,0.01674,26.28805,1.80773,257.07798,1.76195,0.40425,1003.2882031,1005.4529808,24.95065,26.48657,0.0,0.0
2015-08-23 03:30:00,24.46359,0.01657,26.02899,1.76978,253.6991,1.69863,0.49674,1003.325625,1005.4907495,24.90444,26.43167,0.0,0.0
2015-08-23 03:40:00,24.47531,0.01642,25.80061,1.61424,251.72807,1.53285,0.50611,1003.371875,1005.5372103,24.8738,26.3782,0.0,0.0
2015-08-23 03:50:00,24.52471,0.01631,25.63349,1.37584,252.80736,1.31436,0.40668,1003.4228906,1005.5881202,24.8674,26.32903,0.0,0.0
2015-08-23 04:00:00,24.59326,0.01625,25.54262,0.96991,241.87126,0.85535,0.45727,1003.4633594,1005.6282558,24.86529,26.28564,0.0,0.0
2015-08-23 04:10:00,24.63705,0.01622,25.49932,0.75494,219.31779,0.47835,0.58406,1003.5680469,1005.7328897,24.85317,26.24539,0.0,0.0
2015-08-23 04:20:00,24.65624,0.01623,25.51494,0.63245,181.53738,0.01697,0.63222,1003.5796875,1005.7444027,24.83154,26.20901,0.0,0.0
2015-08-23 04:30:00,24.65923,0.01626,25.56178,0.70963,145.68925,-0.4,0.58615,1003.6139844,1005.7787125,24.80352,26.17269,0.0,0.0
2015-08-23 04:40:00,24.63845,0.01628,25.59385,0.79727,114.16129,-0.72743,0.32633,1003.6703125,1005.8352872,24.77056,26.13632,0.0,0.0
2015-08-23 04:50:00,24.5985,0.01627,25.58106,0.88627,104.3003,-0.8588,0.21891,1003.7696875,1005.9351805,24.7312,26.09997,0.0,0.0
2015-08-23 05:00:00,24.56609,0.0163,25.63096,1.05043,99.96547,-1.03458,0.18178,1003.9235938,1006.0896155,24.69586,26.06359,0.0,0.0
2015-08-23 05:10:00,24.47973,0.01643,25.8336,1.3185,90.84847,-1.31835,0.01952,1004.0589844,1006.2257572,24.64825,26.02725,0.0,0.0
2015-08-23 05:20:00,24.33511,0.01655,26.0212,1.43156,87.03137,-1.42964,-0.07414,1004.2061719,1006.3741597,24.58181,25.98748,0.0,0.0
2015-08-23 05:30:00,24.26989,0.01652,25.97765,1.27429,93.15233,-1.27236,0.07007,1004.2990625,1006.4677662,24.54083,25.94543,0.0,0.0
2015-08-23 05:40:00,24.26864,0.01644,25.85511,0.89105,113.08212,-0.81972,0.34934,1004.3,1006.4688197,24.51757,25.90652,0.0,0.0
2015-08-23 05:50:00,24.31063,0.01638,25.76581,0.81224,150.76533,-0.39669,0.70879,1004.4026562,1006.5714697,24.49847,25.8702,0.0,0.0
2015-08-23 06:00:00,24.35418,0.01616,25.43001,1.04684,171.95533,-0.1465,1.03654,1004.4620312,1006.6309436,24.62188,25.84011,0.0,0.0
2015-08-23 06:10:00,24.3999,0.01562,24.60194,1.32386,181.2331,0.02849,1.32355,1004.4976562,1006.6670203,24.85439,25.83187,0.0,0.0
2015-08-23 06:20:00,24.50472,0.01522,23.98687,1.49253,180.60002,0.01563,1.49245,1004.4932031,1006.6623176,25.17401,25.85058,0.0,0.0
2015-08-23 06:30:00,24.69332,0.01514,23.86393,1.39352,176.1864,-0.09268,1.39044,1004.4990625,1006.6669196,25.5772,25.90179,0.0,0.0
2015-08-23 06:40:00,24.74447,0.01534,24.17168,1.3959,174.6719,-0.12962,1.38987,1004.503125,1006.6703559,25.95809,25.98449,0.0,0.0
2015-08-23 06:50:00,24.85375,0.01552,24.44825,1.61138,170.3062,-0.27133,1.58837,1004.4967188,1006.6629044,26.37423,26.09445,0.0,0.0
2015-08-23 07:00:00,25.02999,0.0156,24.57021,1.71165,174.17069,-0.17384,1.7028,1004.45625,1006.6209619,26.84713,26.23046,0.0,0.0
2015-08-23 07:10:00,25.22466,0.01567,24.67799,1.6333,181.16822,0.0333,1.63296,1004.4658594,1006.6290865,27.35275,26.39718,0.0,0.0
2015-08-23 07:20:00,25.40469,0.01575,24.80072,1.46612,181.19967,0.0307,1.4658,1004.46,1006.621804,27.8756,26.59026,0.0,0.0
2015-08-23 07:30:00,25.59588,0.01584,24.93866,1.23141,178.83856,-0.02496,1.23115,1004.4492969,1006.6095753,28.41702,26.8103,0.0,0.0
2015-08-23 07:40:00,25.81213,0.0159,25.03215,0.99354,181.96013,0.03398,0.99296,1004.5045312,1006.6632857,28.97933,27.05517,0.0,0.0
2015-08-23 07:50:00,26.03921,0.0159,25.0331,0.66602,182.19276,0.02548,0.66553,1004.5425,1006.6996958,29.55248,27.32363,0.0,0.0
2015-08-23 08:00:00,26.25848,0.01582,24.91159,0.37711,191.66321,0.07624,0.36933,1004.5953906,1006.7512226,30.11752,27.61285,0.0,0.0
2015-08-23 08:10:00,26.46661,0.01569,24.71216,0.18008,235.85507,0.14904,0.10108,1004.6052344,1006.7597578,30.67724,27.92022,0.0,0.0
2015-08-23 08:20:00,26.64843,0.01561,24.59026,0.14111,257.73367,0.13789,0.02998,1004.6465625,1006.7999706,31.2264,28.2427,0.0,0.0
2015-08-23 08:30:00,26.83471,0.01557,24.52978,0.09132,229.55349,0.0695,0.05925,1004.6870312,1006.8392394,31.78045,28.57763,0.0,0.0
2015-08-23 08:40:00,27.05679,0.01557,24.53017,0.05413,246.84746,0.04977,0.02128,1004.703125,1006.8537738,32.34707,28.9248,0.0,0.0
2015-08-23 08:50:00,27.35284,0.01558,24.54377,0.15124,290.83285,0.14135,-0.05379,1004.6304688,1006.7788281,32.94073,29.28436,0.0,0.0
2015-08-23 09:00:00,27.68618,0.01558,24.54248,0.37364,321.12838,0.23449,-0.2909,1004.5773438,1006.7232066,33.54254,29.65695,0.0,0.0
2015-08-23 09:10:00,28.02221,0.01556,24.51168,0.66706,330.93859,0.32402,-0.58307,1004.5744531,1006.7179388,34.07382,30.03781,0.0,0.0
2015-08-23 09:20:00,28.28008,0.0155,24.41802,1.07646,325.89244,0.60362,-0.89129,1004.5150781,1006.6566793,34.59667,30.42257,0.0,0.0
2015-08-23 09:30:00,28.46481,0.01543,24.30838,1.57571,314.7699,1.11866,-1.10971,1004.4308594,1006.5710587,35.06173,30.80648,0.0,0.0
2015-08-23 09:40:00,28.62036,0.01536,24.19904,1.81212,308.93129,1.40965,-1.13872,1004.3590625,1006.4980951,35.60943,31.19308,0.0,0.0
2015-08-23 09:50:00,28.72299,0.01531,24.12239,1.75339,302.77341,1.47428,-0.94914,1004.3686719,1006.5070616,36.09243,31.58203,0.0,0.0
2015-08-23 10:00:00,28.76183,0.01525,24.02845,1.51693,294.90629,1.37585,-0.63883,1004.2991406,1006.4371845,36.56796,31.96804,0.0,0.0
2015-08-23 10:10:00,28.88656,0.01517,23.90402,0.96482,285.56081,0.92945,-0.25882,1004.2410156,1006.3781554,37.07018,32.35262,0.0,0.0
2015-08-23 10:20:00,29.23617,0.01513,23.84202,0.69382,272.24129,0.69329,-0.02713,1004.22125,1006.3559259,37.60659,32.742,0.0,0.0
2015-08-23 10:30:00,29.63198,0.01514,23.85597,1.1875,303.5791,0.98933,-0.65679,1004.1604688,1006.2922092,37.98348,33.13085,0.0,0.0
2015-08-23 10:40:00,29.90869,0.01521,23.96254,2.11683,310.65408,1.60595,-1.3791,1004.1145312,1006.2441355,38.32028,33.50356,0.0,0.0
2015-08-23 10:50:00,30.06323,0.01525,24.02316,2.68527,313.95699,1.93302,-1.86389,1004.0771875,1006.2055745,38.67996,33.86227,0.0,1e-05
2015-08-23 11:00:00,30.20669,0.0153,24.09896,2.88203,323.93631,1.6966,-2.32972,1004.0323438,1006.1595638,39.00826,34.21227,0.0,2e-05
2015-08-23 11:10:00,30.268,0.01533,24.14296,3.15983,328.36929,1.65715,-2.69042,1003.9442188,1006.0707833,39.23528,34.54672,0.0,2e-05
2015-08-23 11:20:00,30.33181,0.0154,24.25014,3.39266,327.9589,1.7999,-2.87585,1003.9275781,1006.0535697,39.51113,34.86273,0.0,1e-05
2015-08-23 11:30:00,30.53628,0.01541,24.26336,3.34033,324.76901,1.92695,-2.7285,1003.8388281,1005.9631861,39.85955,35.17291,0.0,1e-05
2015-08-23 11:40:00,30.67935,0.01535,24.17008,3.48229,319.28307,2.27157,-2.63937,1003.7935156,1005.9168534,40.09533,35.47305,0.0,2e-05
2015-08-23 11:50:00,30.79833,0.01534,24.1538,3.59119,316.2303,2.48425,-2.59329,1003.7555469,1005.8779852,40.35546,35.76019,0.0,2e-05
2015-08-23 12:00:00,30.95541,0.01524,23.99817,3.61017,316.4491,2.48741,-2.61652,1003.6744531,1005.7957508,40.6,36.03823,0.0,1e-05
2015-08-23 12:10:00,31.0523,0.01512,23.81249,3.59192,318.22697,2.39287,-2.67881,1003.6236719,1005.74434,40.90569,36.31164,0.0,1e-05
2015-08-23 12:20:00,31.17376,0.01527,24.04211,3.63045,320.79545,2.29477,-2.81321,1003.58375,1005.7032941,41.02419,36.57208,0.0,0.0
2015-08-23 12:30:00,31.18359,0.0153,24.08622,4.23829,324.64186,2.45264,-3.45654,1003.500625,1005.6198865,40.99423,36.80361,0.0,0.0
2015-08-23 12:40:00,31.20339,0.01532,24.11403,4.55674,328.69613,2.36758,-3.89338,1003.3790625,1005.4979036,41.05212,37.01043,0.0,0.0
2015-08-23 12:50:00,31.19329,0.01507,23.72906,4.78018,330.16175,2.37839,-4.14649,1003.3467188,1005.4658826,41.0841,37.19503,0.0,0.0
2015-08-23 13:00:00,31.32037,0.01501,23.63815,4.57259,327.5469,2.45369,-3.85849,1003.4032812,1005.5217558,41.28265,37.37231,0.0,0.0
2015-08-23 13:10:00,31.42993,0.0151,23.77592,4.37274,323.76583,2.58467,-3.52709,1003.3778906,1005.4954335,41.36804,37.54321,0.0,0.0
2015-08-23 13:20:00,31.44906,0.01513,23.82246,4.6187,323.32212,2.75882,-3.70423,1003.3954688,1005.5128772,41.29028,37.69348,0.0,0.0
2015-08-23 13:30:00,31.41332,0.01516,23.86967,4.82361,324.25499,2.81785,-3.91496,1003.4419531,1005.5596699,41.25018,37.82101,0.0,0.0
2015-08-23 13:40:00,31.25994,0.01534,24.14697,4.9023,322.68372,2.97185,-3.89881,1003.4714062,1005.5900226,41.11111,37.92495,0.0,0.0
2015-08-23 13:50:00,31.28747,0.01522,23.95953,5.05729,322.40864,3.08507,-4.0073,1003.3434375,1005.4617458,41.03854,38.00585,0.0,0.0
2015-08-23 14:00:00,31.2123,0.01536,24.17321,5.10576,325.48835,2.89279,-4.2072,1003.2854688,1005.4039989,40.86501,38.07064,0.0,0.0
2015-08-23 14:10:00,31.17471,0.01522,23.95804,5.345,325.06374,3.06089,-4.38177,1003.2808594,1005.3998212,40.69119,38.11208,0.0,0.0
2015-08-23 14:20:00,31.06478,0.01556,24.4793,5.48788,325.22073,3.13038,-4.5075,1003.2449219,1005.3641384,40.48333,38.13021,0.0,0.0
2015-08-23 14:30:00,30.84866,0.01616,25.39764,5.7097,326.74004,3.13142,-4.7744,1003.1785156,1005.2983305,40.14913,38.12112,0.0,0.0
2015-08-23 14:40:00,30.60519,0.01637,25.71985,5.93213,326.89245,3.2402,-4.96903,1003.2029688,1005.324267,39.8366,38.08001,0.0,0.0
2015-08-23 14:50:00,30.62386,0.01635,25.69014,5.83999,328.60515,3.04224,-4.985,1003.2384375,1005.3597058,39.69875,38.02697,0.0,0.0
2015-08-23 15:00:00,30.46578,0.01646,25.85854,5.64818,325.79731,3.17497,-4.67135,1003.2394531,1005.3616881,39.42468,37.96121,0.0,0.0
2015-08-23 15:10:00,30.38049,0.01635,25.69054,5.66839,325.50565,3.21015,-4.67178,1003.2544531,1005.377458,39.15948,37.87933,0.0,0.0
2015-08-23 15:20:00,30.21707,0.01668,26.1988,5.40008,324.29189,3.15179,-4.38487,1003.3799219,1005.5039135,38.91058,37.78625,0.0,0.0
2015-08-23 15:30:00,30.28781,0.01606,25.25119,5.23565,326.25488,2.9084,-4.35353,1003.4472656,1005.5717003,38.67129,37.68163,0.0,0.0
