Time,Height_1,WindSpeed_1,WindDirection_1,PotentialTemperature_1,MixingRatio_1,Height_2,WindSpeed_2,WindDirection_2,PotentialTemperature_2,MixingRatio_2,Height_3,WindSpeed_3,WindDirection_3,PotentialTemperature_3,MixingRatio_3,Height_4,WindSpeed_4,WindDirection_4,PotentialTemperature_4,MixingRatio_4,Height_5,WindSpeed_5,WindDirection_5,PotentialTemperature_5,MixingRatio_5,Height_6,WindSpeed_6,WindDirection_6,PotentialTemperature_6,MixingRatio_6,Height_7,WindSpeed_7,WindDirection_7,PotentialTemperature_7,MixingRatio_7,Height_8,WindSpeed_8,WindDirection_8,PotentialTemperature_8,MixingRatio_8,Height_9,WindSpeed_9,WindDirection_9,PotentialTemperature_9,MixingRatio_9,Height_10,WindSpeed_10,WindDirection_10,PotentialTemperature_10,MixingRatio_10,Height_11,WindSpeed_11,WindDirection_11,PotentialTemperature_11,MixingRatio_11,Height_12,WindSpeed_12,WindDirection_12,PotentialTemperature_12,MixingRatio_12,Height_13,WindSpeed_13,WindDirection_13,PotentialTemperature_13,MixingRatio_13,Height_14,WindSpeed_14,WindDirection_14,PotentialTemperature_14,MixingRatio_14
2015-08-23 00:10:00,12.05619,1.001,299.66721,298.50089,0.01527,36.18572,2.16073,291.71644,298.41422,0.01513,60.3581,1.98449,291.9849,298.44824,0.01509,84.58072,2.04484,292.30247,298.4765,0.0151,108.85255,2.08992,294.14254,298.49094,0.01514,133.17484,2.03736,297.84947,298.51334,0.01517,157.5483,1.85643,304.13222,298.55545,0.01517,181.9723,1.60122,312.09789,298.61383,0.0151,206.44728,1.32432,319.67723,298.66214,0.01505,230.97401,1.0816,324.09535,298.6871,0.01506,255.55386,0.89526,325.07239,298.69974,0.01514,280.18822,0.81543,328.10702,298.72467,0.01521,308.99995,0.98172,334.77412,298.75244,0.01521,408.59282,1.22855,319.93385,299.31006,0.01425
2015-08-23 00:20:00,12.05496,1.11448,301.84225,298.40268,0.01533,36.18207,2.2714,293.00187,298.31836,0.0152,60.34988,2.33754,290.57611,298.32831,0.01511,84.56653,2.22277,287.87711,298.37244,0.01509,108.83396,2.19485,286.77866,298.40436,0.01513,133.15301,2.11913,289.58691,298.42218,0.01522,157.52429,1.91988,296.87364,298.45374,0.01527,181.94717,1.67371,308.36848,298.51227,0.01523,206.42131,1.45567,322.7448,298.58075,0.01515,230.94658,1.28644,335.97703,298.63455,0.0151,255.52381,1.13437,343.57784,298.66214,0.01512,280.15465,0.97671,345.55666,298.69855,0.01515,308.96261,0.94057,348.41099,298.58438,0.01547,408.53788,1.25812,322.03699,299.19299,0.01436
2015-08-23 00:30:00,12.05105,1.014,313.53729,298.26151,0.01532,36.17135,2.01743,295.18789,298.20084,0.01522,60.33233,2.36863,287.40581,298.20441,0.01514,84.54089,2.31269,282.94304,298.24286,0.01512,108.80041,2.16554,282.11107,298.28574,0.01515,133.1126,1.98307,286.07457,298.32666,0.0152,157.47848,1.76984,295.00467,298.37515,0.01525,181.8975,1.57671,308.40169,298.43939,0.01526,206.3688,1.45449,324.4262,298.50714,0.0152,230.8917,1.39799,339.72369,298.56125,0.01516,255.4666,1.344,350.73817,298.59387,0.01517,280.0948,1.23865,355.49278,298.64923,0.01516,308.90024,1.15401,2.46513,298.55002,0.0155,408.46261,1.31768,322.05539,299.13986,0.01437
2015-08-23 00:40:00,12.04643,0.93382,323.73343,298.1647,0.01527,36.15854,1.77801,296.43445,298.1149,0.01518,60.31237,2.31505,284.23554,298.11459,0.01512,84.51386,2.41425,279.89208,298.15036,0.01512,108.7669,2.30891,281.97002,298.20453,0.01516,133.07339,2.13301,289.04681,298.26309,0.01521,157.43413,1.95468,298.97265,298.31967,0.01523,181.84912,1.80843,310.46845,298.38303,0.01526,206.31824,1.69389,322.29548,298.45441,0.01527,230.84033,1.59402,332.34789,298.52576,0.01524,255.41483,1.4913,340.11898,298.57565,0.01521,280.04266,1.38002,344.36512,298.60944,0.01524,308.84845,1.32965,350.46234,298.63983,0.01529,408.40762,1.54275,313.1706,299.164,0.01425
2015-08-23 00:50:00,12.04295,0.87075,332.04853,298.10968,0.01522,36.14864,1.69535,295.89153,298.06134,0.01515,60.29725,2.32398,284.16886,298.06781,0.01511,84.49461,2.48222,283.19755,298.12085,0.01512,108.74467,2.46006,288.16342,298.20093,0.01514,133.04951,2.40819,295.44434,298.28232,0.01515,157.40906,2.32998,302.67379,298.34943,0.01516,181.8225,2.23108,309.29114,298.40277,0.01518,206.29073,2.11721,315.98452,298.44882,0.01524,230.81383,1.97841,322.08328,298.49454,0.0153,255.39093,1.80019,326.2061,298.5463,0.01533,280.02167,1.64214,329.09558,298.59213,0.01533,308.82886,1.55988,332.58139,298.66553,0.01521,408.379,1.84169,308.72112,299.11353,0.01424
2015-08-23 01:00:00,12.0406,0.78776,343.97812,298.06918,0.01518,36.14212,1.65541,295.74871,298.02441,0.01513,60.28784,2.30115,287.50503,298.04724,0.01509,84.48356,2.57881,290.07,298.12659,0.01503,108.73231,2.75628,294.697,298.23074,0.01496,133.0354,2.83921,298.67841,298.32657,0.01489,157.39272,2.79355,302.28514,298.40179,0.01485,181.80347,2.66553,305.76174,298.45493,0.01487,206.26835,2.5125,309.26666,298.49063,0.01495,230.78807,2.36718,313.16903,298.51334,0.01506,255.36303,2.22655,316.79579,298.53006,0.01518,279.99293,2.09751,319.25519,298.56125,0.01524,308.79964,1.98922,322.41323,298.59473,0.01526,408.33834,2.07213,309.08636,298.99695,0.01439
2015-08-23 01:10:00,12.03865,0.74728,0.77331,298.02841,0.01513,36.13704,1.54852,300.39459,297.99194,0.01511,60.28068,2.24242,293.41732,298.02609,0.01506,84.47412,2.69527,295.43143,298.10361,0.01498,108.7193,3.03665,297.52301,298.19971,0.0149,133.01708,3.16056,299.81696,298.30115,0.01479,157.36755,3.0721,303.15332,298.39664,0.01468,181.77047,2.88986,307.01783,298.47025,0.01463,206.2272,2.70505,310.57646,298.51743,0.01466,230.73891,2.54846,313.55609,298.54272,0.01476,255.30569,2.43351,315.82302,298.55969,0.01486,279.92692,2.35344,316.9926,298.57825,0.0149,308.72362,2.33263,318.37282,298.59048,0.01493,408.24244,2.24177,312.11622,298.91776,0.01438
2015-08-23 01:20:00,12.03642,0.69757,6.35721,297.97803,0.01509,36.13129,1.48203,304.24579,297.95041,0.01509,60.2726,2.18698,296.9956,297.98441,0.01506,84.46383,2.69198,297.80782,298.04761,0.01502,108.70664,3.08953,298.88878,298.14297,0.01495,133.00187,3.23405,301.69444,298.26923,0.01479,157.34913,3.16481,306.4026,298.39212,0.01461,181.7478,3.01734,311.09073,298.48038,0.01449,206.19899,2.85948,314.70702,298.53632,0.01446,230.70369,2.72344,317.65807,298.56976,0.01449,255.26219,2.62271,320.24335,298.59164,0.01456,279.87412,2.55761,322.05396,298.6087,0.01461,308.65869,2.54005,323.91959,298.59631,0.0147,408.14822,2.38914,318.34533,298.87811,0.01428
2015-08-23 01:30:00,12.03355,0.61325,356.22379,297.91476,0.01504,36.12343,1.51476,301.20822,297.88873,0.01506,60.26088,2.18451,294.72088,297.91965,0.01507,84.44881,2.62815,295.953,297.97461,0.01507,108.68905,3.02411,297.82919,298.0657,0.01503,132.9827,3.21643,301.57232,298.19119,0.01493,157.32908,3.22791,307.14077,298.32123,0.01479,181.72672,3.17691,311.92107,298.42807,0.01465,206.17554,3.07746,315.06973,298.50784,0.01452,230.67573,2.94285,317.77167,298.5632,0.01442,255.2279,2.81267,320.91535,298.59714,0.01439,279.83303,2.72356,324.17321,298.62341,0.01441,308.61173,2.6888,329.485,298.58286,0.01465,408.08155,2.48021,325.15879,298.81039,0.01432
2015-08-23 01:40:00,12.02965,0.64446,351.75162,297.8288,0.01498,36.11169,1.54878,299.43945,297.80362,0.01502,60.24237,2.20652,292.01852,297.84198,0.01507,84.42546,2.60457,293.27829,297.90082,0.01511,108.66197,2.96408,295.85744,297.98318,0.01513,132.95326,3.16789,299.82865,298.09009,0.01511,157.30004,3.21245,305.63754,298.19467,0.01511,181.70129,3.21562,311.24169,298.28223,0.01512,206.15518,3.20513,314.95603,298.35751,0.01508,230.65928,3.15627,317.31329,298.42834,0.01494,255.21225,3.06879,319.44056,298.49066,0.01476,279.81449,2.94892,321.77954,298.54684,0.01457,308.58651,2.84975,326.4271,298.55838,0.01451,408.04195,2.52951,331.72512,298.71887,0.01445
2015-08-23 01:50:00,12.02445,0.63555,4.58892,297.73825,0.01491,36.09671,1.40889,299.81364,297.71414,0.01497,60.21931,2.11277,289.75173,297.76517,0.01506,84.39653,2.55263,290.18207,297.8338,0.01514,108.62936,2.89789,292.98157,297.92383,0.01521,132.91893,3.10093,296.94607,298.03113,0.01525,157.266,3.14869,302.12303,298.13013,0.0153,181.67008,3.12117,307.72023,298.19867,0.01538,206.13041,3.09358,312.57533,298.24405,0.01549,230.64435,3.08458,316.16112,298.28375,0.01553,255.20845,3.08126,318.68278,298.32703,0.01547,279.82048,3.05302,320.81423,298.37405,0.01534,308.59756,2.97755,323.33619,298.44693,0.01505,408.04781,2.50947,332.90406,298.67874,0.01453
2015-08-23 02:00:00,12.01986,0.56651,18.45066,297.66568,0.01487,36.0831,1.2108,296.99951,297.64432,0.01494,60.1981,2.02923,284.35432,297.69864,0.01506,84.36981,2.53803,284.89301,297.76334,0.0152,108.59902,2.87733,288.53483,297.84009,0.01535,132.88738,3.0767,292.73023,297.93683,0.01547,157.23513,3.14735,297.45496,298.03635,0.01554,181.64072,3.11287,302.55013,298.12152,0.0156,206.10312,3.01474,307.48039,298.18158,0.01565,230.62114,2.91929,312.20796,298.21506,0.01571,255.19311,2.87962,316.85451,298.23203,0.01583,279.81741,2.91176,320.95271,298.24893,0.01593,308.61185,2.91829,324.01772,298.3259,0.01571,408.07704,2.47733,329.13769,298.63232,0.01471
2015-08-23 02:10:00,12.01659,0.52847,34.12248,297.60913,0.01484,36.0741,0.98505,292.73895,297.59381,0.01494,60.18415,1.92811,277.80167,297.63855,0.01508,84.35219,2.53468,278.47158,297.68149,0.01535,108.58047,2.86056,282.6684,297.73132,0.01565,132.87003,3.00051,287.05413,297.8028,0.01587,157.22028,3.0325,291.75549,297.89642,0.01597,181.62902,3.00569,297.281,297.99652,0.01598,206.09422,2.92536,303.11634,298.0853,0.01595,230.61377,2.80265,308.65168,298.15277,0.01591,255.18757,2.69848,314.20179,298.18634,0.01597,279.81761,2.69751,319.80421,298.19,0.01618,308.62543,2.78956,324.52178,298.22507,0.01623,408.10881,2.39154,325.62901,298.59042,0.01486
2015-08-23 02:20:00,12.01409,0.56354,43.99894,297.56293,0.01483,36.06731,0.82793,288.49009,297.55798,0.01496,60.17414,1.80232,271.98113,297.59479,0.01514,84.34083,2.50222,272.27091,297.61716,0.01552,108.57122,2.87883,276.44164,297.64539,0.01597,132.86625,3.00304,280.94121,297.69983,0.01631,157.22346,2.97593,285.89182,297.78363,0.01644,181.63855,2.90803,292.0918,297.88376,0.01641,206.10875,2.84873,298.77971,297.98355,0.0163,230.63202,2.7776,304.85879,298.06845,0.01617,255.208,2.68686,310.38764,298.12579,0.01611,279.83913,2.61163,315.81707,298.1557,0.01617,308.6526,2.67133,322.5024,298.12689,0.01651,408.15254,2.35785,321.76493,298.51736,0.01515
2015-08-23 02:30:00,12.01208,0.64693,55.18759,297.52554,0.01484,36.06203,0.63879,284.71962,297.52353,0.01497,60.1668,1.63471,265.90125,297.56714,0.01517,84.3323,2.39462,265.16425,297.5834,0.01552,108.56329,2.86309,269.08733,297.60251,0.016,132.86171,3.0502,274.12495,297.64841,0.01643,157.22423,3.00598,279.63781,297.72037,0.01664,181.64479,2.87043,286.40815,297.80713,0.01666,206.11944,2.77571,294.03833,297.89374,0.01657,230.64592,2.74705,300.64942,297.97589,0.01645,255.22338,2.74155,305.5178,298.04294,0.01634,279.852,2.72434,308.7701,298.10492,0.0162,308.66048,2.70764,313.76257,298.05786,0.01646,408.18441,2.3928,320.42674,298.34528,0.01578
2015-08-23 02:40:00,12.01034,0.79495,70.01271,297.48935,0.01485,36.05629,0.26658,290.22199,297.47885,0.01495,60.15676,1.20323,259.51636,297.53265,0.01511,84.3166,2.03047,258.50844,297.55566,0.01535,108.53888,2.62711,261.71882,297.56842,0.01571,132.82787,2.97546,267.10021,297.59409,0.01617,157.18389,3.04813,273.31901,297.64261,0.01657,181.60155,2.9171,280.09815,297.70984,0.01677,206.07538,2.73619,287.83204,297.78647,0.01678,230.60199,2.62715,296.00394,297.86398,0.0167,255.1801,2.61948,302.93971,297.93558,0.0166,279.80908,2.64209,307.86814,298.00381,0.01649,308.61229,2.82476,309.55164,298.02557,0.01645,408.1512,2.38116,321.05041,298.22348,0.01612
2015-08-23 02:50:00,12.00839,0.88424,80.06615,297.4505,0.01488,36.04907,0.24423,81.42148,297.42447,0.01493,60.14238,0.59257,245.83593,297.48041,0.01505,84.29319,1.42357,253.82281,297.51392,0.01522,108.50285,2.14978,257.54568,297.53201,0.01549,132.77569,2.70293,262.15939,297.55164,0.01587,157.11565,2.9985,268.01165,297.58365,0.01631,181.52189,3.01335,274.54702,297.63031,0.0167,205.98998,2.83327,281.42056,297.68906,0.01692,230.51431,2.60763,289.20863,297.75977,0.01694,255.09134,2.47458,297.98753,297.83539,0.01685,279.72001,2.42727,305.93134,297.91248,0.01672,308.52245,2.61253,311.23334,297.94623,0.01669,408.05621,2.34257,322.63893,298.17657,0.01618
2015-08-23 03:00:00,12.00679,0.89297,88.78387,297.414,0.01492,36.04265,0.89091,104.02,297.36224,0.01492,60.12844,0.4189,150.77451,297.41312,0.01498,84.27011,0.66637,232.74443,297.46082,0.01511,108.46919,1.42893,253.26867,297.49133,0.01533,132.72918,2.17483,259.50143,297.51666,0.01566,157.05454,2.71259,264.86111,297.54953,0.01607,181.44741,2.93377,271.05316,297.59494,0.0165,205.90659,2.86704,277.855,297.64816,0.01684,230.42725,2.64848,285.33443,297.70551,0.01702,255.00398,2.45374,293.97848,297.76694,0.01705,279.63346,2.35481,302.45591,297.83453,0.01697,308.43809,2.44521,309.44717,297.85138,0.01703,407.96218,2.2655,323.866,298.16202,0.01617
2015-08-23 03:10:00,12.00547,0.81583,100.50332,297.38095,0.01494,36.0365,1.42883,116.96738,297.26837,0.01491,60.1141,1.0954,118.68131,297.31897,0.01494,84.24633,0.56698,142.42086,297.39899,0.01502,108.43608,0.61848,228.24002,297.45444,0.01523,132.68685,1.49055,255.60672,297.48697,0.01556,157.0025,2.28038,262.56003,297.52344,0.01596,181.38549,2.73125,268.91427,297.57535,0.01639,205.83653,2.8196,275.75293,297.62909,0.01676,230.35229,2.68223,283.36691,297.68021,0.01701,254.92766,2.49876,291.72942,297.73047,0.01714,279.55817,2.37636,299.28937,297.78696,0.01712,308.36641,2.3774,306.06204,297.79672,0.01723,407.88748,2.17125,322.86087,298.1456,0.0162
