Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layler Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-09-11 00:10:00,23.42849,0.01221,19.39773,6.21844,324.21726,3.63601,-5.04465,1007.7841406,1008.191051,21.79583,22.38217,0.0,0.0
2015-09-11 00:20:00,23.39321,0.0122,19.38331,6.13517,327.41654,3.30396,-5.16954,1007.8446094,1008.2515951,21.77413,22.38387,0.0,0.0
2015-09-11 00:30:00,23.38079,0.01215,19.3056,6.11022,328.46743,3.19554,-5.208,1007.8557812,1008.2628008,21.75845,22.38485,0.0,0.0
2015-09-11 00:40:00,23.38799,0.0121,19.22761,6.04853,327.9708,3.20785,-5.12781,1007.8525,1008.2595207,21.75497,22.3858,0.0,0.0
2015-09-11 00:50:00,23.40188,0.0121,19.22721,6.02861,327.71654,3.21993,-5.09669,1007.8314062,1008.2383993,21.77252,22.38674,0.0,0.0
2015-09-11 01:00:00,23.38842,0.01209,19.2117,6.15103,327.52605,3.30259,-5.18923,1007.8353125,1008.2423281,21.76602,22.3868,0.0,0.0
2015-09-11 01:10:00,23.34826,0.01219,19.36828,6.07017,330.04604,3.03086,-5.25936,1007.8734375,1008.280499,21.73647,22.38366,0.0,0.0
2015-09-11 01:20:00,23.30221,0.01274,20.22422,5.8387,330.76444,2.85163,-5.09496,1007.8535156,1008.2604967,21.7564,22.37869,0.0,0.0
2015-09-11 01:30:00,23.26553,0.01322,20.97104,5.98414,335.88692,2.44476,-5.46197,1007.8873438,1008.2942707,21.8074,22.37551,0.0,0.0
2015-09-11 01:40:00,23.13076,0.01338,21.21857,6.01786,339.05334,2.15138,-5.62016,1007.8430469,1008.2501016,21.69033,22.36825,0.0,0.0
2015-09-11 01:50:00,23.05432,0.01309,20.76805,5.83673,339.78406,2.01694,-5.47717,1007.8377344,1008.2449635,21.56652,22.35397,0.0,0.0
2015-09-11 02:00:00,23.0436,0.01285,20.39431,5.63722,340.65373,1.86748,-5.3189,1007.8046094,1008.2118991,21.52639,22.33566,0.0,0.0
2015-09-11 02:10:00,23.02664,0.01213,19.27285,5.47013,341.71914,1.71584,-5.19405,1007.7732812,1008.1807591,21.41622,22.3168,0.0,0.0
2015-09-11 02:20:00,22.99816,0.01189,18.89781,5.21316,342.55156,1.56315,-4.97329,1007.7270312,1008.1345889,21.3532,22.2972,0.0,0.0
2015-09-11 02:30:00,22.96581,0.01211,19.23931,5.09237,342.61517,1.52154,-4.85975,1007.6492969,1008.0568134,21.37557,22.27761,0.0,0.0
2015-09-11 02:40:00,22.80166,0.01244,19.75283,4.89471,345.68285,1.21041,-4.74269,1007.6252344,1008.0328857,21.28286,22.2568,0.0,0.0
2015-09-11 02:50:00,22.82946,0.01269,20.14119,4.44618,347.86421,0.93472,-4.34682,1007.5914844,1007.9990221,21.29937,22.25054,0.0,0.0
2015-09-11 03:00:00,22.8309,0.01253,19.8921,4.58352,344.98031,1.18782,-4.42693,1007.58375,1007.991322,21.26132,22.2402,0.0,0.0
2015-09-11 03:10:00,23.01101,0.01108,17.63041,5.03662,346.43201,1.18159,-4.89606,1007.5825,1007.9901816,21.277,22.22103,0.0,0.0
2015-09-11 03:20:00,22.96646,0.01072,17.06777,5.43922,347.9155,1.13872,-5.31869,1007.6111719,1008.0190154,21.20236,22.20452,0.0,0.0
2015-09-11 03:30:00,22.90664,0.01051,16.73925,5.4212,348.489,1.08183,-5.31216,1007.6282031,1008.0361878,21.13857,22.18527,0.0,0.0
2015-09-11 03:40:00,22.83947,0.01037,16.52076,5.381,349.82362,0.95071,-5.29635,1007.6784375,1008.0865698,21.07549,22.16598,0.0,0.0
2015-09-11 03:50:00,22.78454,0.01034,16.47432,5.34474,352.38249,0.7085,-5.29757,1007.7139844,1008.1222143,21.03869,22.14453,0.0,0.0
2015-09-11 04:00:00,22.74493,0.01034,16.4755,5.37708,355.00603,0.46808,-5.35666,1007.7861719,1008.1944857,21.0137,22.12496,0.0,0.0
2015-09-11 04:10:00,22.70971,0.01033,16.46189,5.34341,356.2955,0.34524,-5.33225,1007.9125781,1008.3209943,20.97796,22.10446,0.0,0.0
2015-09-11 04:20:00,22.63571,0.01039,16.55758,5.10023,357.85281,0.19109,-5.09665,1008.0128125,1008.4213566,20.90151,22.08077,0.0,0.0
2015-09-11 04:30:00,22.58795,0.01048,16.70019,4.77812,357.22546,0.23129,-4.77252,1008.1067188,1008.5153447,20.84774,22.05703,0.0,0.0
2015-09-11 04:40:00,22.58679,0.01059,16.87364,4.71268,353.90479,0.5004,-4.68604,1008.1724219,1008.5810488,20.84649,22.03335,0.0,0.0
2015-09-11 04:50:00,22.61001,0.01079,17.18812,4.75016,349.40544,0.87336,-4.66919,1008.245,1008.6535747,20.88021,22.00991,0.0,0.0
2015-09-11 05:00:00,22.67034,0.01071,17.06394,5.13192,346.65697,1.18435,-4.99339,1008.3099219,1008.7184593,20.94894,21.99157,0.0,0.0
