Time,Height_1,WindSpeed_1,WindDirection_1,PotentialTemperature_1,MixingRatio_1,Height_2,WindSpeed_2,WindDirection_2,PotentialTemperature_2,MixingRatio_2,Height_3,WindSpeed_3,WindDirection_3,PotentialTemperature_3,MixingRatio_3,Height_4,WindSpeed_4,WindDirection_4,PotentialTemperature_4,MixingRatio_4,Height_5,WindSpeed_5,WindDirection_5,PotentialTemperature_5,MixingRatio_5,Height_6,WindSpeed_6,WindDirection_6,PotentialTemperature_6,MixingRatio_6,Height_7,WindSpeed_7,WindDirection_7,PotentialTemperature_7,MixingRatio_7,Height_8,WindSpeed_8,WindDirection_8,PotentialTemperature_8,MixingRatio_8,Height_9,WindSpeed_9,WindDirection_9,PotentialTemperature_9,MixingRatio_9,Height_10,WindSpeed_10,WindDirection_10,PotentialTemperature_10,MixingRatio_10,Height_11,WindSpeed_11,WindDirection_11,PotentialTemperature_11,MixingRatio_11,Height_12,WindSpeed_12,WindDirection_12,PotentialTemperature_12,MixingRatio_12,Height_13,WindSpeed_13,WindDirection_13,PotentialTemperature_13,MixingRatio_13,Height_14,WindSpeed_14,WindDirection_14,PotentialTemperature_14,MixingRatio_14
2015-09-11 00:10:00,11.87702,5.26477,341.73848,293.91956,0.0131,35.65294,7.10538,343.48837,293.97116,0.01304,59.47294,7.98731,344.43142,293.97913,0.01299,83.33733,8.46626,345.04526,293.9769,0.01294,107.24608,8.77805,345.53481,293.97314,0.0129,131.1999,9.0094,345.96735,293.97,0.01287,155.19943,9.19276,346.35723,293.9682,0.01283,179.2448,9.33893,346.69595,293.96802,0.0128,203.33663,9.45644,347.0117,293.96988,0.01276,227.47526,9.54652,347.32823,293.97467,0.01271,251.66118,9.61669,347.69214,293.98212,0.01267,275.89451,9.67141,348.43986,294.03223,0.01249,304.23119,9.71329,348.91624,294.1727,0.01209,402.17407,9.16057,354.76666,294.51147,0.0119
2015-09-11 00:20:00,11.87434,5.64962,342.84009,293.84244,0.01346,35.64685,7.73514,344.2559,293.88245,0.0134,59.46595,8.7157,344.96053,293.88226,0.01334,83.33002,9.21518,345.3436,293.87439,0.01328,107.23846,9.51578,345.62718,293.86697,0.01323,131.19183,9.71929,345.86778,293.86221,0.01318,155.19083,9.86742,346.08783,293.86142,0.01312,179.23543,9.98434,346.30993,293.86703,0.01305,203.32621,10.0728,346.55949,293.87991,0.01297,227.46339,10.14295,346.93912,293.9205,0.01281,251.64674,10.2352,347.80397,294.06485,0.01242,275.87731,10.26695,349.23748,294.19699,0.01221,304.21246,10.12554,350.98716,294.27432,0.01217,402.16246,9.41083,351.91844,294.39478,0.01212
2015-09-11 00:30:00,11.87554,5.58008,343.82809,293.85696,0.01333,35.65006,7.606,344.92588,293.89798,0.01322,59.47045,8.54275,345.44389,293.89676,0.01312,83.33516,9.03754,345.73896,293.88791,0.01302,107.24385,9.34889,345.96167,293.8804,0.01293,131.19725,9.56995,346.15142,293.87692,0.01284,155.19602,9.74025,346.33163,293.87906,0.01275,179.24,9.88659,346.52323,293.892,0.01262,203.3297,10.01311,346.73181,293.91525,0.01249,227.46538,10.14549,347.01138,293.96359,0.01231,251.64713,10.2983,347.38512,294.01144,0.01217,275.8753,10.48079,348.00866,294.09491,0.01199,304.20548,10.60944,348.56718,294.15472,0.01186,402.12883,11.00006,350.19238,294.25253,0.01196
2015-09-11 00:40:00,11.86789,5.54912,345.09915,293.73074,0.01317,35.62643,7.82428,346.10447,293.78403,0.01305,59.42912,8.95167,346.60361,293.79565,0.01292,83.27425,9.59605,346.9698,293.80124,0.01279,107.16139,10.04911,347.36148,293.81216,0.01265,131.09142,10.37523,347.7749,293.83072,0.01253,155.06526,10.67594,348.28893,293.8645,0.01241,179.08376,10.94141,348.94712,293.91269,0.01231,203.14987,11.2098,349.83849,293.99091,0.01228,227.26595,11.40289,350.47062,294.0307,0.01229,251.43308,11.4974,350.76805,294.08932,0.01223,275.65206,11.52427,350.72661,294.15164,0.01217,303.9775,11.48374,350.4767,294.21021,0.01213,401.88417,11.2321,349.86652,294.35477,0.01202
2015-09-11 00:50:00,11.86848,5.66188,340.67453,293.84775,0.01332,35.62914,7.83302,342.06547,293.90179,0.01324,59.43621,8.90114,342.78205,293.9097,0.01318,83.28801,9.50336,343.20195,293.90604,0.01312,107.18389,9.91972,343.56323,293.90033,0.01308,131.12475,10.23327,343.90233,293.89471,0.01305,155.11146,10.51733,344.3048,293.88995,0.01302,179.14437,10.73278,344.68387,293.88635,0.01299,203.22491,10.93953,345.27329,293.88403,0.01297,227.35389,11.09134,345.7481,293.88327,0.01294,251.53172,11.19877,346.24977,293.88434,0.01291,275.75914,11.27928,346.75971,293.88797,0.01288,304.09259,11.30083,347.38684,293.89871,0.01283,402.02175,11.31369,349.78131,294.22305,0.0122
2015-09-11 01:00:00,11.87303,5.9842,339.96139,293.85538,0.0134,35.64315,8.06999,341.07504,293.9064,0.01335,59.46038,8.97578,341.53949,293.91116,0.01331,83.32307,9.44243,341.73935,293.90524,0.01327,107.23067,9.71816,341.85321,293.89758,0.01324,131.18391,9.90586,341.93752,293.89011,0.01322,155.18342,10.04421,342.01105,293.88358,0.0132,179.22921,10.15268,342.08037,293.87799,0.01318,203.32178,10.24216,342.1526,293.87344,0.01317,227.46148,10.31845,342.23615,293.86996,0.01316,251.64878,10.38324,342.34017,293.86768,0.01315,275.88416,10.44323,342.52171,293.86703,0.01313,304.22349,10.52076,343.00772,293.86908,0.0131,402.1405,10.79969,347.16407,293.97845,0.01258
2015-09-11 01:10:00,11.87631,5.84529,341.96477,293.84106,0.01349,35.65299,7.90762,342.68526,293.89294,0.01343,59.47684,8.82228,342.98962,293.89886,0.01337,83.34639,9.28853,343.07903,293.89426,0.01333,107.26113,9.57098,343.13668,293.8877,0.0133,131.22147,9.7594,343.17575,293.88104,0.01327,155.2281,9.89794,343.21611,293.87509,0.01325,179.28108,10.00654,343.26073,293.8699,0.01323,203.38088,10.09472,343.31299,293.86536,0.01321,227.52789,10.16792,343.37961,293.86157,0.0132,251.72218,10.23189,343.47579,293.85828,0.01319,275.96412,10.29142,343.60306,293.8551,0.01318,304.31127,10.35923,343.84667,293.85049,0.01319,402.22812,10.5538,345.78298,294.10672,0.01232
2015-09-11 01:20:00,11.87537,5.85717,339.07504,293.84705,0.01331,35.65015,7.96341,339.98965,293.90158,0.01324,59.47178,8.89665,340.38289,293.90775,0.01319,83.33855,9.37525,340.48407,293.90262,0.01314,107.25,9.66564,340.53851,293.89523,0.01311,131.20685,9.858,340.5622,293.88782,0.01308,155.20979,10.00076,340.58268,293.8811,0.01305,179.25868,10.1105,340.59702,293.87506,0.01304,203.35417,10.19761,340.60507,293.86969,0.01302,227.49675,10.26603,340.60284,293.86472,0.01301,251.68679,10.31877,340.58962,293.86008,0.013,275.92495,10.35867,340.54582,293.85553,0.013,304.26865,10.38118,340.47487,293.84952,0.01301,402.18022,10.25571,345.53322,294.08923,0.01223
2015-09-11 01:30:00,11.87269,5.91227,337.63512,293.91595,0.01323,35.64082,7.97891,338.57959,293.92133,0.01317,59.45427,8.87975,338.95815,293.91235,0.01313,83.31265,9.32077,339.08658,293.90231,0.01309,107.21572,9.59102,339.17249,293.89313,0.01306,131.16425,9.76656,339.22494,293.88538,0.01304,155.15899,9.89328,339.27121,293.87888,0.01301,179.19998,9.98642,339.30593,293.8735,0.013,203.28776,10.05752,339.3331,293.86905,0.01298,227.42267,10.11183,339.35153,293.86539,0.01297,251.60525,10.15483,339.36955,293.86267,0.01296,275.83612,10.18727,339.38499,293.86066,0.01295,304.17137,10.20452,339.37896,293.85892,0.01294,402.05538,10.39322,342.98414,294.04272,0.01232
2015-09-11 01:40:00,11.87443,5.97283,338.73484,293.94595,0.01323,35.64546,7.95575,339.54498,293.95599,0.01317,59.46101,8.81929,339.92042,293.95099,0.01311,83.32119,9.23754,340.10481,293.94424,0.01307,107.22602,9.49217,340.258,293.93793,0.01303,131.17634,9.66304,340.40232,293.93265,0.013,155.17283,9.78721,340.5478,293.92834,0.01297,179.21542,9.88211,340.69507,293.92487,0.01295,203.30474,9.95758,340.84783,293.92221,0.01292,227.4411,10.01994,341.00854,293.92032,0.0129,251.6249,10.07281,341.18034,293.9191,0.01288,275.85664,10.11947,341.37098,293.91837,0.01286,304.19223,10.16505,341.60854,293.91794,0.01284,402.0809,10.34738,343.56878,293.92935,0.01274
