Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-09-11 01:00:00,0.0,1.48791,1.36224,0.09389,0.01426,0.01751
2015-09-11 02:00:00,0.0,1.44999,1.35997,0.06356,0.01345,0.01301
2015-09-11 03:00:00,0.0,1.46163,1.35825,0.07476,0.01389,0.01472
2015-09-11 04:00:00,0.0,1.44107,1.3577,0.04056,0.01328,0.02953
2015-09-11 05:00:00,0.0,1.29352,1.35004,-0.01938,0.00936,-0.0465
2015-09-11 06:00:00,0.0,1.31444,1.34929,-0.02598,0.00697,-0.01584
2015-09-11 07:00:00,0.0402,1.47702,1.36095,0.01869,0.01212,0.12546
2015-09-11 08:00:00,0.33697,1.47156,1.38314,0.12376,0.02064,0.28098
2015-09-11 09:00:00,0.87524,1.44191,1.42646,0.33786,0.03888,0.51396
2015-09-11 10:00:00,1.83705,1.35877,1.49406,0.72778,0.06719,0.90679
2015-09-11 11:00:00,2.19879,1.41131,1.54079,1.07047,0.08536,0.91347
2015-09-11 12:00:00,2.73611,1.34608,1.58417,1.44171,0.10167,0.95464
2015-09-11 13:00:00,2.80675,1.32116,1.60398,1.59313,0.10366,0.82714
2015-09-11 14:00:00,2.24175,1.40362,1.58375,1.46171,0.09158,0.50832
2015-09-11 15:00:00,2.29186,1.33975,1.58819,1.43697,0.08883,0.51762
2015-09-11 16:00:00,1.71726,1.35401,1.56107,1.15981,0.07296,0.27743
2015-09-11 17:00:00,1.18795,1.31225,1.52247,0.86728,0.05479,0.05566
2015-09-11 18:00:00,0.45931,1.34556,1.47067,0.4901,0.03548,-0.19138
2015-09-11 19:00:00,0.03031,1.42583,1.42954,0.27005,0.02241,-0.26586
2015-09-11 20:00:00,0.0,1.32787,1.40717,0.13425,0.0154,-0.22895
2015-09-11 21:00:00,0.0,1.31354,1.39463,0.07246,0.00951,-0.16306
2015-09-11 22:00:00,0.0,1.33655,1.38709,0.05028,0.00852,-0.10935
2015-09-11 23:00:00,0.0,1.3302,1.3785,0.0395,0.00615,-0.09395
2015-09-12 00:00:00,0.0,1.34612,1.37178,0.05025,0.00614,-0.08205
