Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-09-11 01:00:00,0.0,1.43223,1.37589,-0.06402,0.02881,0.09156
2015-09-11 02:00:00,0.0,1.47947,1.37887,-0.05424,0.03649,0.11835
2015-09-11 03:00:00,0.0,1.29892,1.36661,-0.09307,0.02922,-0.00385
2015-09-11 04:00:00,0.0,1.30804,1.36195,-0.08605,0.02759,0.00456
2015-09-11 05:00:00,0.0,1.49032,1.36941,-0.03244,0.02991,0.12343
2015-09-11 06:00:00,0.0,1.50401,1.37101,-0.02563,0.02876,0.12987
2015-09-11 07:00:00,0.12568,1.4337,1.37427,0.00494,0.03033,0.14984
2015-09-11 08:00:00,0.71168,1.35741,1.40721,0.20749,0.04725,0.40715
2015-09-11 09:00:00,1.30473,1.33128,1.44914,0.48777,0.07078,0.62831
2015-09-11 10:00:00,2.08972,1.28134,1.50963,0.8677,0.11353,0.88021
2015-09-11 11:00:00,2.48732,1.30478,1.54998,1.20417,0.12857,0.90937
2015-09-11 12:00:00,2.62648,1.34213,1.57949,1.37761,0.13317,0.87833
2015-09-11 13:00:00,2.81728,1.2883,1.60441,1.50563,0.14536,0.85018
2015-09-11 14:00:00,2.38487,1.40135,1.59843,1.43202,0.12358,0.63219
2015-09-11 15:00:00,2.16927,1.35475,1.58764,1.31938,0.11635,0.50065
2015-09-11 16:00:00,1.71257,1.32228,1.55689,1.12329,0.0973,0.25737
2015-09-11 17:00:00,1.19885,1.27779,1.51969,0.8276,0.07776,0.0516
2015-09-11 18:00:00,0.5215,1.28238,1.46999,0.46369,0.04979,-0.17961
2015-09-11 19:00:00,0.0367,1.28505,1.42261,0.18994,0.02894,-0.31973
2015-09-11 20:00:00,0.0,1.29999,1.40352,0.09553,0.02135,-0.22041
2015-09-11 21:00:00,0.0,1.273,1.38744,0.04838,0.01766,-0.18047
2015-09-11 22:00:00,0.0,1.27634,1.37592,0.02841,0.01463,-0.14261
2015-09-11 23:00:00,0.0,1.27582,1.36593,0.02128,0.0133,-0.12469
2015-09-12 00:00:00,0.0,1.272,1.35779,0.01185,0.01341,-0.11106
